Trade_ID,Ticker,Outcome,Entry_Time,1W_Trend_Valid,1D_Trend_Valid,1D_Volume_Contracting,Breakout_Open_Valid,Intraday_Volume_Spike,Consol_Close_Below_8EMA,Consol_Close_Below_21EMA,Consol_Close_Below_50EMA,>=6_days_consol,Date
SOFI_20241004,SOFI,Loss,2024-10-04 12:15:00,0,1,1,1,1,1,1,0,1,
SOFI_20241008,SOFI,Win,2024-10-08 11:30:00,1,1,1,1,1,1,1,0,1,
PLTR_20240909,PLTR,Win,2024-09-09 09:55:00,1,1,1,1,1,1,1,0,1,
PLTR_20241003,PLTR,Win,2024-10-03 09:50:00,1,1,1,1,1,1,0,0,1,
CRWD_20240919,CRWD,Loss,2024-09-19 10:30:00,0,0,1,1,1,1,1,1,1,
AMZN_20240919,AMZN,Loss,2024-09-19 09:50:00,1,1,0,1,0,0,0,0,0,
U_20240923,U,Loss,2024-09-23 14:00:00,0,1,0,1,1,0,0,0,1,
HOOD_20241008,HOOD,Win,2024-10-08 09:40:00,0,1,1,1,1,1,0,0,1,
PANW_20241008,PANW,Loss,2024-10-08 09:55:00,1,1,0,1,1,1,1,1,1,
IONQ_20241107,IONQ,Win,2024-11-07 10:00:00,1,1,1,0,1,1,0,0,1,
BB_20241016,BB,Loss,2024-10-16 09:35:00,0,1,1,1,1,1,1,1,1,
RKLB_20241016,RKLB,Win,2024-10-16 10:10:00,1,1,1,1,1,1,0,0,1,
CRWD_20241107,CRWD,Win,2024-11-07 11:55:00,1,1,1,1,1,1,1,0,1,
DELL_20241122,DELL,Loss,2024-11-22 09:50:00,1,1,1,1,1,1,0,0,1,
CAT_20241125,CAT,Loss,2024-11-25 09:50:00,1,1,0,1,1,1,1,1,1,
META_20241202,META,Win,2024-12-02 09:50:00,1,1,1,1,1,1,1,1,1,
DDOG_20241204,DDOG,Win,2024-12-04 09:50:00,1,1,1,1,1,0,0,0,1,
U_20241204,U,Loss,2024-12-04 09:50:00,0,1,1,1,1,0,0,0,1,
NFLX_20241211,NFLX,Loss,2024-12-11 10:10:00,1,1,0,1,0,0,0,0,0,
BB_20250128,BB,Win,2025-01-28 13:40:00,1,1,1,1,1,1,0,0,1,
HOOD_20250207,HOOD,Loss,2025-02-07 09:45:00,1,1,0,0,1,1,0,0,0,
SNOW_20250213,SNOW,Win,2025-02-13 13:50:00,1,1,1,1,1,1,0,0,1,
PLTR_20250321,PLTR,Loss,2025-03-21 15:55:00,1,0,1,0,1,1,1,1,1,
PANW_20250512,PANW,Loss,2025-05-12 10:15:00,0,1,1,1,1,0,0,0,1,
COIN_20250522,COIN,Loss,2025-05-22 14:20:00,1,1,0,1,1,0,0,0,0,
CAT_20250623,CAT,Win,2025-06-23 09:45:00,1,1,1,1,1,1,0,0,1,
MSFT_20250612,MSFT,Win,2025-06-12 09:40:00,1,1,0,1,1,0,0,0,0,
HOOD_20250618,HOOD,Win,2025-06-18 13:20:00,1,1,1,1,1,1,0,0,1,
ARM_20250623,ARM,Loss,2025-06-23 10:10:00,1,1,1,0,1,0,0,0,0,
TSLA_20250623,TSLA,Loss,2025-06-23 09:50:00,1,1,1,1,1,1,1,0,1,
META_20250624,META,Loss,2025-06-24 09:50:00,1,1,1,1,1,1,0,0,1,
NVDA_20250625,NVDA,Win,2025-06-25 09:50:00,1,1,1,1,1,1,0,0,1,
UBER_20250707,UBER,Win,2025-07-07 09:55:00,1,1,1,1,1,0,0,0,1,
AMZN_20250711,AMZN,Win,2025-07-11 11:05:00,1,1,1,1,1,1,0,0,1,
SMCI_20250715,SMCI,Loss,2025-07-15 10:10:00,0,1,1,1,1,1,0,0,1,
DELL_20250718,DELL,Win,2025-07-18 09:50:00,1,1,1,0,1,1,0,0,1,
TGT_20260715,TGT,Loss,2026-07-15 09:55:00,1,1,1,1,1,0,0,0,0,
HIMS_20260701,HIMS,Loss,2026-07-01 09:50:00,0,1,1,1,0,1,0,0,1,
NKE_20240827,NKE,Loss,2024-08-27 11:05:00,0,0,1,1,0,0,0,0,1,
WMT_20240910,WMT,Win,2024-09-10 09:50:00,1,1,1,1,1,0,0,0,1,
CSCO_20241009,CSCO,Win,2024-10-09 11:45:00,1,1,1,1,1,1,0,0,1,
CRWD_20260626,CRWD,Win,2026-06-26 11:40:00,1,1,1,1,1,1,1,0,1,
FLEX_20250609,FLEX,Win,2025-06-09 15:55:00,1,1,1,1,1,1,0,0,1,
CRDO_20250103,CRDO,Win,2025-01-03 10:55:00,1,1,1,1,0,1,0,0,1,
LRCX_20260702,LRCX,Loss,2026-07-02 11:10:00,1,1,1,0,1,0,0,0,1,
JNJ_20250331,JNJ,Loss,2025-03-31 10:00:00,1,1,1,1,1,1,1,0,1,
RACE_20250610,RACE,Loss,2025-06-10 10:30:00,1,1,1,1,1,1,1,0,1,
GOOGL_20250808,GOOGL,Win,2025-08-08 09:45:00,1,1,1,1,1,1,0,0,1,
SOFI_20250822,SOFI,Win,2025-08-22 10:55:00,1,1,1,1,1,1,0,0,1,
OSS_20250821,OSS,Win,2025-08-21 10:20:00,1,1,1,0,1,1,1,0,1,
WULF_20250909,WULF,Win,2025-09-09 10:00:00,1,1,1,1,1,1,0,0,1,
RKLB_20240911,RKLB,Win,2024-09-11 10:55:00,1,1,1,1,1,1,1,0,1,
TSLA_20241205,TSLA,Win,2024-12-05 09:50:00,1,1,1,1,1,1,0,0,1,
NVDA_20240108,NVDA,Win,2024-01-08 09:50:00,1,1,1,1,1,1,1,0,1,
KEEL_20260522,KEEL,Win,2026-05-22 09:50:00,1,1,0,1,1,1,0,0,1,
DELL_20260416,DELL,Win,2026-04-16 09:50:00,1,1,1,1,1,1,0,0,1,
BB_20260518,BB,Win,2026-05-18 09:50:00,1,1,1,1,1,1,1,1,1,
ASTS_20260526,ASTS,Win,2026-05-26 10:40:00,1,1,1,1,1,1,0,0,1,
CAT_20260129,CAT,Win,2026-01-29 11:15:00,1,1,1,1,1,1,0,0,1,
AAPL_20260430,AAPL,Win,2026-04-30 09:50:00,1,1,1,1,1,1,0,0,1,
USAR_20260120,USAR,Win,2026-01-20 10:00:00,1,1,1,1,1,1,1,0,1,
IONQ_20260521,IONQ,Win,2026-05-21 10:05:00,1,1,1,1,1,0,0,0,1,
JPM_20260612,JPM,Win,2026-06-12 09:50:00,1,1,1,1,1,1,0,0,1,
ARM_20260413,ARM,Win,2026-04-13 09:50:00,1,1,1,1,1,1,0,0,1,
ARKK_20250606,ARKK,Win,2025-06-06 09:50:00,1,1,1,1,1,1,0,0,1,
RGTI_20260603,RGTI,Loss,2026-06-03 10:10:00,1,1,0,0,1,1,0,0,1,
WULF_20260123,WULF,Loss,2026-01-23 11:45:00,1,0,1,0,1,1,1,1,1,
QBTS_20260604,QBTS,Loss,2026-06-04 14:25:00,1,1,0,0,1,1,0,0,1,
KTOS_20260218,KTOS,Loss,2026-02-18 09:50:00,0,0,1,0,1,1,1,1,1,
IOT_20260316,IOT,Loss,2026-03-16 09:45:00,0,0,1,1,1,0,0,0,1,
AMZN_20251219,AMZN,Loss,2025-12-19 10:20:00,0,0,0,0,1,1,1,1,1,
