date,open,high,low,close,volume
2025-12-22 09:55:00+00:00,8.26,8.26,8.25,8.26,5867.0
2025-12-22 10:00:00+00:00,8.26,8.26,8.26,8.26,1513.0
2025-12-22 10:10:00+00:00,8.27,8.27,8.27,8.27,539.0
2025-12-22 10:20:00+00:00,8.28,8.28,8.27,8.27,2779.0
2025-12-22 10:25:00+00:00,8.28,8.29,8.28,8.29,643.0
2025-12-22 10:30:00+00:00,8.295,8.3,8.295,8.3,2279.0
2025-12-22 10:35:00+00:00,8.29,8.29,8.28,8.29,1367.0
2025-12-22 10:50:00+00:00,8.28,8.28,8.28,8.28,674.0
2025-12-22 10:55:00+00:00,8.28,8.28,8.28,8.28,485.0
2025-12-22 11:00:00+00:00,8.27,8.28,8.27,8.28,952.0
2025-12-22 11:20:00+00:00,8.29,8.3,8.29,8.3,1834.0
2025-12-22 11:25:00+00:00,8.3,8.3,8.3,8.3,885.0
2025-12-22 11:30:00+00:00,8.29,8.3,8.29,8.3,359.0
2025-12-22 11:35:00+00:00,8.3,8.3,8.3,8.3,1260.0
2025-12-22 11:40:00+00:00,8.29,8.29,8.29,8.29,169.0
2025-12-22 11:45:00+00:00,8.29,8.29,8.29,8.29,214.0
2025-12-22 11:50:00+00:00,8.29,8.29,8.29,8.29,1106.0
2025-12-22 11:55:00+00:00,8.29,8.29,8.29,8.29,200.0
2025-12-22 12:00:00+00:00,8.29,8.29,8.28,8.29,9882.0
2025-12-22 12:05:00+00:00,8.29,8.3,8.29,8.3,743.0
2025-12-22 12:10:00+00:00,8.295,8.295,8.295,8.295,150.0
2025-12-22 12:15:00+00:00,8.299,8.31,8.299,8.3,1823.0
2025-12-22 12:20:00+00:00,8.3,8.305,8.3,8.305,1488.0
2025-12-22 12:25:00+00:00,8.3,8.31,8.3,8.305,2722.0
2025-12-22 12:30:00+00:00,8.3,8.31,8.3,8.31,310.0
2025-12-22 12:35:00+00:00,8.3,8.31,8.3,8.31,3280.0
2025-12-22 12:45:00+00:00,8.3,8.3,8.3,8.3,310.0
2025-12-22 12:50:00+00:00,8.31,8.31,8.31,8.31,100.0
2025-12-22 12:55:00+00:00,8.305,8.305,8.28,8.28,7810.0
2025-12-22 13:00:00+00:00,8.29,8.31,8.24,8.28,158110.0
2025-12-22 13:05:00+00:00,8.27,8.28,8.27,8.2788,4028.0
2025-12-22 13:10:00+00:00,8.28,8.28,8.27,8.2797,23052.0
2025-12-22 13:15:00+00:00,8.2799,8.29,8.27,8.29,8399.0
2025-12-22 13:20:00+00:00,8.2801,8.3,8.2801,8.2997,8055.0
2025-12-22 13:25:00+00:00,8.2998,8.3,8.29,8.2997,4221.0
2025-12-22 13:30:00+00:00,8.29,8.3,8.29,8.3,9506.0
2025-12-22 13:35:00+00:00,8.29,8.2999,8.28,8.2898,4652.0
2025-12-22 13:40:00+00:00,8.29,8.2992,8.28,8.28,13358.0
2025-12-22 13:45:00+00:00,8.295,8.3,8.28,8.28,4451.0
2025-12-22 13:50:00+00:00,8.29,8.3,8.2899,8.3,7574.0
2025-12-22 13:55:00+00:00,8.2994,8.3,8.2895,8.3,14380.0
2025-12-22 14:00:00+00:00,8.3,8.31,8.29,8.29,8120.0
2025-12-22 14:05:00+00:00,8.29,8.3,8.29,8.3,5554.0
2025-12-22 14:10:00+00:00,8.2998,8.3,8.29,8.29,10395.0
2025-12-22 14:15:00+00:00,8.3,8.31,8.28,8.3,41508.0
2025-12-22 14:20:00+00:00,8.3,8.31,8.28,8.29,12246.0
2025-12-22 14:25:00+00:00,8.2898,8.29,8.25,8.28,38558.0
2025-12-22 14:30:00+00:00,8.29,8.4362,8.26,8.33,1115251.0
2025-12-22 14:35:00+00:00,8.3299,8.39,8.3,8.335,559699.0
2025-12-22 14:40:00+00:00,8.335,8.45,8.305,8.4373,588681.0
2025-12-22 14:45:00+00:00,8.435,8.48,8.395,8.435,823793.0
2025-12-22 14:50:00+00:00,8.4344,8.57,8.425,8.57,801304.0
2025-12-22 14:55:00+00:00,8.57,8.65,8.56,8.6127,841274.0
2025-12-22 15:00:00+00:00,8.61,8.64,8.48,8.49,901308.0
2025-12-22 15:05:00+00:00,8.495,8.55,8.48,8.54,429901.0
2025-12-22 15:10:00+00:00,8.545,8.5799,8.48,8.5,583753.0
