date,open,high,low,close,volume
2025-04-22 09:45:00+00:00,6.68,6.68,6.68,6.68,150.0
2025-04-22 10:25:00+00:00,6.54,6.54,6.54,6.54,239.0
2025-04-22 11:35:00+00:00,6.54,6.6,6.54,6.6,1500.0
2025-04-22 12:00:00+00:00,6.6,6.6,6.6,6.6,3327.0
2025-04-22 12:10:00+00:00,6.43,6.43,6.43,6.43,100.0
2025-04-22 13:25:00+00:00,6.41,6.41,6.31,6.31,581.0
2025-04-22 13:30:00+00:00,6.3,6.42,6.285,6.3832,40027.0
2025-04-22 13:35:00+00:00,6.4,6.44,6.39,6.41,11554.0
2025-04-22 13:40:00+00:00,6.4044,6.445,6.4044,6.44,6356.0
2025-04-22 13:45:00+00:00,6.435,6.46,6.41,6.42,13367.0
2025-04-22 13:50:00+00:00,6.425,6.425,6.365,6.37,10166.0
2025-04-22 13:55:00+00:00,6.36,6.36,6.315,6.33,12309.0
2025-04-22 14:00:00+00:00,6.31,6.405,6.3029,6.405,20588.0
2025-04-22 14:05:00+00:00,6.42,6.43,6.34,6.345,5872.0
2025-04-22 14:10:00+00:00,6.36,6.395,6.35,6.3544,7058.0
2025-04-22 14:15:00+00:00,6.35,6.365,6.3399,6.35,10358.0
2025-04-22 14:20:00+00:00,6.35,6.35,6.3003,6.3003,12265.0
2025-04-22 14:25:00+00:00,6.31,6.37,6.3,6.37,16772.0
2025-04-22 14:30:00+00:00,6.37,6.38,6.33,6.38,3304.0
2025-04-22 14:35:00+00:00,6.37,6.37,6.305,6.31,6395.0
2025-04-22 14:40:00+00:00,6.3186,6.3199,6.2543,6.28,29186.0
2025-04-22 14:45:00+00:00,6.28,6.32,6.27,6.2949,15202.0
2025-04-22 14:50:00+00:00,6.305,6.33,6.2976,6.31,1942.0
2025-04-22 14:55:00+00:00,6.315,6.315,6.305,6.31,1213.0
2025-04-22 15:00:00+00:00,6.32,6.395,6.32,6.38,13264.0
2025-04-22 15:05:00+00:00,6.39,6.45,6.3801,6.45,22014.0
2025-04-22 15:10:00+00:00,6.45,6.46,6.4201,6.4491,10728.0
2025-04-22 15:15:00+00:00,6.44,6.45,6.4201,6.43,10406.0
2025-04-22 15:20:00+00:00,6.4368,6.4368,6.315,6.315,17539.0
2025-04-22 15:25:00+00:00,6.315,6.32,6.295,6.295,13677.0
2025-04-22 15:30:00+00:00,6.285,6.2898,6.27,6.27,9402.0
