date,open,high,low,close,volume
2025-12-22 10:40:00+00:00,895.01,895.01,895.01,895.01,294.0
2025-12-22 11:10:00+00:00,895.87,895.87,895.87,895.87,153.0
2025-12-22 11:35:00+00:00,894.58,894.58,894.0,894.0,378.0
2025-12-22 11:40:00+00:00,894.97,894.97,894.97,894.97,154.0
2025-12-22 12:00:00+00:00,895.51,895.51,895.51,895.51,94.0
2025-12-22 12:15:00+00:00,894.89,894.89,894.89,894.89,234.0
2025-12-22 12:20:00+00:00,895.65,895.65,895.35,895.65,400.0
2025-12-22 12:40:00+00:00,895.75,895.82,895.75,895.77,274.0
2025-12-22 13:00:00+00:00,897.24,897.24,897.24,897.24,367.0
2025-12-22 13:10:00+00:00,896.9,896.9,896.9,896.9,75.0
2025-12-22 13:35:00+00:00,896.8,896.8,896.8,896.8,102.0
2025-12-22 13:40:00+00:00,896.94,896.94,895.77,895.77,476.0
2025-12-22 14:00:00+00:00,895.8,895.8,895.8,895.8,73.0
2025-12-22 14:05:00+00:00,896.6,896.6,896.6,896.6,80.0
2025-12-22 14:10:00+00:00,896.63,896.63,896.63,896.63,91.0
2025-12-22 14:15:00+00:00,896.5,896.5,896.5,896.5,137.0
2025-12-22 14:25:00+00:00,896.06,896.6,896.0,896.6,453.0
2025-12-22 14:30:00+00:00,896.52,903.9399,896.52,899.9,65350.0
2025-12-22 14:35:00+00:00,900.12,900.94,895.48,895.49,26126.0
2025-12-22 14:40:00+00:00,895.425,899.68,894.84,897.57,24962.0
2025-12-22 14:45:00+00:00,897.51,902.26,897.39,901.18,20664.0
2025-12-22 14:50:00+00:00,901.29,901.32,898.94,900.94,21164.0
2025-12-22 14:55:00+00:00,900.56,901.29,898.525,899.04,20016.0
2025-12-22 15:00:00+00:00,899.47,900.2,897.178,898.68,11177.0
2025-12-22 15:05:00+00:00,899.2,899.88,897.1413,898.73,8202.0
2025-12-22 15:10:00+00:00,898.7925,898.7925,896.1882,896.81,14819.0
2025-12-22 15:15:00+00:00,896.65,898.6399,896.36,897.55,10162.0
2025-12-22 15:20:00+00:00,897.66,899.1,896.891,899.08,9455.0
2025-12-22 15:25:00+00:00,899.0,899.2799,898.095,898.385,7304.0
2025-12-22 15:30:00+00:00,898.82,899.29,898.19,898.5,7955.0
2025-12-22 15:35:00+00:00,898.22,898.4399,896.65,896.92,11320.0
2025-12-22 15:40:00+00:00,896.4001,899.83,896.4001,899.7,10025.0
2025-12-22 15:45:00+00:00,899.43,900.4999,899.3,900.15,9538.0
2025-12-22 15:50:00+00:00,900.4,901.0,898.9001,899.77,9209.0
2025-12-22 15:55:00+00:00,899.38,900.0,898.87,899.14,14389.0
2025-12-22 16:00:00+00:00,899.4,899.92,898.419,899.679,13963.0
2025-12-22 16:05:00+00:00,899.5,900.525,898.51,900.525,9376.0
2025-12-22 16:10:00+00:00,900.525,902.6,900.525,902.6,10979.0
2025-12-22 16:15:00+00:00,902.65,903.17,902.43,903.15,10412.0
2025-12-22 16:20:00+00:00,903.17,903.469,901.43,901.5,10190.0
2025-12-22 16:25:00+00:00,901.295,901.54,900.51,900.58,8137.0
2025-12-22 16:30:00+00:00,900.26,902.33,900.26,902.33,7352.0
