date,open,high,low,close,volume
2025-06-04 13:20:00+00:00,73.75,73.83,73.47,73.5512,50627.0
2025-06-04 13:25:00+00:00,73.6,73.7,72.8,72.92,172711.0
2025-06-04 13:30:00+00:00,72.96,73.0,71.13,71.31,3287151.0
2025-06-04 13:35:00+00:00,71.31,72.13,71.21,71.78,1309846.0
2025-06-04 13:40:00+00:00,71.78,72.2691,71.71,71.7152,1038969.0
2025-06-04 13:45:00+00:00,71.71,72.56,71.71,72.5201,1042226.0
2025-06-04 13:50:00+00:00,72.52,72.55,71.83,72.12,724238.0
2025-06-04 13:55:00+00:00,72.12,72.46,71.9,72.1596,637398.0
2025-06-04 14:00:00+00:00,72.12,72.16,71.77,71.87,773929.0
2025-06-04 14:05:00+00:00,71.89,72.01,71.15,71.47,995231.0
2025-06-04 14:10:00+00:00,71.49,72.13,71.47,71.81,718805.0
2025-06-04 14:15:00+00:00,71.8,72.32,71.7,72.2602,490336.0
2025-06-04 14:20:00+00:00,72.28,72.69,72.2412,72.39,799052.0
2025-06-04 14:25:00+00:00,72.37,72.4695,71.95,72.33,567008.0
2025-06-04 14:30:00+00:00,72.31,72.36,72.07,72.14,301873.0
2025-06-04 14:35:00+00:00,72.145,72.22,71.79,71.9694,338102.0
2025-06-04 14:40:00+00:00,71.9499,72.03,71.81,71.99,228937.0
2025-06-04 14:45:00+00:00,71.99,72.0,71.6701,71.91,364301.0
2025-06-04 14:50:00+00:00,71.9,72.0999,71.78,72.0473,282213.0
2025-06-04 14:55:00+00:00,72.055,72.58,72.0,72.5186,396484.0
2025-06-04 15:00:00+00:00,72.52,72.58,72.3,72.52,381523.0
2025-06-04 15:05:00+00:00,72.54,72.74,72.48,72.52,369904.0
2025-06-04 15:10:00+00:00,72.52,72.6,72.3866,72.41,275967.0
2025-06-04 15:15:00+00:00,72.395,72.48,72.13,72.19,289202.0
2025-06-04 15:20:00+00:00,72.175,72.19,71.945,72.05,309394.0
2025-06-04 15:25:00+00:00,72.05,72.1877,72.0,72.13,179780.0
2025-06-04 15:30:00+00:00,72.14,72.34,72.03,72.22,262949.0
2025-06-04 15:35:00+00:00,72.23,72.4,72.13,72.335,216253.0
2025-06-04 15:40:00+00:00,72.33,72.36,72.1,72.17,196599.0
2025-06-04 15:45:00+00:00,72.15,72.28,72.0,72.05,226260.0
2025-06-04 15:50:00+00:00,72.0572,72.15,71.995,72.0,202104.0
2025-06-04 15:55:00+00:00,72.0075,72.11,71.9101,71.9101,236034.0
2025-06-04 16:00:00+00:00,71.925,72.0771,71.8503,72.0,216351.0
2025-06-04 16:05:00+00:00,72.0,72.07,71.89,71.8959,179095.0
2025-06-04 16:10:00+00:00,71.9,71.91,71.5,71.533,356699.0
2025-06-04 16:15:00+00:00,71.54,71.8424,71.5301,71.8001,358234.0
2025-06-04 16:20:00+00:00,71.815,71.83,71.515,71.69,214363.0
2025-06-04 16:25:00+00:00,71.695,71.715,71.54,71.58,200965.0
2025-06-04 16:30:00+00:00,71.57,71.825,71.565,71.6121,217476.0
2025-06-04 16:35:00+00:00,71.62,71.63,71.46,71.58,245253.0
2025-06-04 16:40:00+00:00,71.57,71.63,71.45,71.47,163444.0
2025-06-04 16:45:00+00:00,71.47,71.5997,71.4,71.57,178095.0
2025-06-04 16:50:00+00:00,71.57,71.68,71.55,71.58,159246.0
2025-06-04 16:55:00+00:00,71.59,71.66,71.53,71.63,131641.0
2025-06-04 17:00:00+00:00,71.65,71.72,71.5202,71.5202,160057.0
2025-06-04 17:05:00+00:00,71.51,71.63,71.48,71.53,174284.0
2025-06-04 17:10:00+00:00,71.51,71.67,71.4,71.67,155006.0
2025-06-04 17:15:00+00:00,71.67,71.74,71.59,71.64,135226.0
2025-06-04 17:20:00+00:00,71.64,71.725,71.63,71.705,117106.0
2025-06-04 17:25:00+00:00,71.71,71.865,71.7,71.82,253242.0
2025-06-04 17:30:00+00:00,71.82,71.88,71.73,71.77,195578.0
2025-06-04 17:35:00+00:00,71.77,71.825,71.6,71.77,188298.0
2025-06-04 17:40:00+00:00,71.7636,71.8099,71.59,71.8,247954.0
2025-06-04 17:45:00+00:00,71.79,71.85,71.72,71.795,117570.0
2025-06-04 17:50:00+00:00,71.81,71.85,71.7753,71.81,118663.0
2025-06-04 17:55:00+00:00,71.8,71.91,71.7381,71.805,127415.0
2025-06-04 18:00:00+00:00,71.81,71.91,71.8,71.8,144634.0
2025-06-04 18:05:00+00:00,71.795,72.17,71.795,72.1592,270441.0
2025-06-04 18:10:00+00:00,72.1676,72.33,72.0726,72.27,340912.0
2025-06-04 18:15:00+00:00,72.2563,72.28,72.07,72.25,181545.0
2025-06-04 18:20:00+00:00,72.25,72.3202,72.15,72.15,158466.0
2025-06-04 18:25:00+00:00,72.1504,72.19,71.97,72.08,196748.0
2025-06-04 18:30:00+00:00,72.0623,72.207,72.0488,72.165,244900.0
2025-06-04 18:35:00+00:00,72.165,72.165,72.09,72.11,137928.0
2025-06-04 18:40:00+00:00,72.1176,72.1176,71.91,71.98,178119.0
2025-06-04 18:45:00+00:00,71.975,72.02,71.86,71.8801,155781.0
2025-06-04 18:50:00+00:00,71.89,71.9,71.78,71.8301,174912.0
2025-06-04 18:55:00+00:00,71.8399,72.04,71.8,71.965,306583.0
2025-06-04 19:00:00+00:00,71.9614,72.05,71.895,71.895,142478.0
2025-06-04 19:05:00+00:00,71.895,72.01,71.87,71.88,166198.0
2025-06-04 19:10:00+00:00,71.875,71.97,71.875,71.93,287603.0
2025-06-04 19:15:00+00:00,71.93,72.037,71.88,72.02,197741.0
2025-06-04 19:20:00+00:00,72.03,72.2797,72.0,72.26,247152.0
2025-06-04 19:25:00+00:00,72.265,72.3,72.18,72.195,228831.0
2025-06-04 19:30:00+00:00,72.19,72.33,72.18,72.26,246555.0
2025-06-04 19:35:00+00:00,72.25,72.32,72.17,72.255,216404.0
2025-06-04 19:40:00+00:00,72.26,72.42,72.18,72.3601,292050.0
2025-06-04 19:45:00+00:00,72.37,72.54,72.3669,72.4,379841.0
2025-06-04 19:50:00+00:00,72.39,72.41,72.22,72.28,411916.0
2025-06-04 19:55:00+00:00,72.27,72.34,72.22,72.28,807768.0
2025-06-04 20:00:00+00:00,72.28,72.32,72.0,72.1997,1261255.0
2025-06-04 20:05:00+00:00,72.1995,72.27,72.08,72.15,16665.0
2025-06-04 20:10:00+00:00,72.14,72.2,72.1,72.1992,14344.0
2025-06-04 20:15:00+00:00,72.12,72.27,72.1025,72.1975,11830.0
2025-06-04 20:20:00+00:00,72.16,72.1999,72.1,72.1004,16579.0
2025-06-04 20:25:00+00:00,72.1001,72.2,72.1,72.17,3007.0
2025-06-04 20:30:00+00:00,72.18,72.27,72.1,72.18,43463.0
2025-06-04 20:35:00+00:00,72.1001,72.24,72.1,72.23,11734.0
2025-06-04 20:40:00+00:00,72.16,72.23,72.1113,72.2199,8857.0
