symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-12-05 00:00:00+00:00,228.95,228.9732,228.95,228.9732,668.0,46.0,228.956844
AMZN,2025-12-05 00:05:00+00:00,228.9305,228.98,228.9305,228.98,946.0,34.0,228.968215
AMZN,2025-12-05 00:10:00+00:00,228.9978,228.9978,228.9978,228.9978,223.0,18.0,228.9978
AMZN,2025-12-05 00:15:00+00:00,228.9952,229.0,228.97,229.0,1038.0,42.0,228.994783
AMZN,2025-12-05 00:20:00+00:00,228.9999,229.05,228.99,229.05,6349.0,113.0,229.000734
AMZN,2025-12-05 00:25:00+00:00,229.05,229.05,228.98,229.05,5263.0,115.0,229.005489
AMZN,2025-12-05 00:30:00+00:00,229.05,229.1,229.05,229.1,4031.0,125.0,229.072347
AMZN,2025-12-05 00:35:00+00:00,229.1,229.17,229.06,229.06,4445.0,116.0,229.122445
AMZN,2025-12-05 00:40:00+00:00,229.15,229.15,229.06,229.12,4288.0,106.0,229.114328
AMZN,2025-12-05 00:45:00+00:00,229.07,229.19,229.07,229.19,3838.0,138.0,229.128381
AMZN,2025-12-05 00:50:00+00:00,229.1202,229.16,229.1202,229.16,3694.0,51.0,229.124309
AMZN,2025-12-05 00:55:00+00:00,229.16,229.16,229.13,229.15,5683.0,155.0,229.143577
AMZN,2025-12-05 09:00:00+00:00,229.99,230.19,229.9,229.92,7805.0,193.0,230.022697
AMZN,2025-12-05 09:05:00+00:00,230.03,230.05,230.0,230.05,3573.0,120.0,230.012169
AMZN,2025-12-05 09:10:00+00:00,230.01,230.04,229.63,229.83,7419.0,237.0,229.89904
AMZN,2025-12-05 09:15:00+00:00,230.0,230.16,230.0,230.06,4257.0,111.0,230.059315
AMZN,2025-12-05 09:20:00+00:00,230.06,230.07,230.0,230.0,2347.0,72.0,230.061629
AMZN,2025-12-05 09:25:00+00:00,230.06,230.06,230.0,230.0,1386.0,37.0,230.014347
AMZN,2025-12-05 09:30:00+00:00,230.02,230.06,230.02,230.06,1104.0,40.0,230.0308
AMZN,2025-12-05 09:35:00+00:00,230.0,230.0,230.0,230.0,1861.0,34.0,230.0
AMZN,2025-12-05 09:40:00+00:00,229.9,229.9,229.87,229.89,958.0,41.0,229.888031
AMZN,2025-12-05 09:45:00+00:00,230.01,230.01,229.81,229.81,1259.0,51.0,229.9575
AMZN,2025-12-05 09:50:00+00:00,229.93,229.93,229.93,229.93,599.0,6.0,229.93
AMZN,2025-12-05 10:00:00+00:00,230.06,230.11,229.98,229.99,3224.0,109.0,230.059589
AMZN,2025-12-05 10:05:00+00:00,230.07,230.07,230.07,230.07,738.0,20.0,230.07
AMZN,2025-12-05 10:10:00+00:00,230.15,230.22,230.15,230.22,1850.0,86.0,230.183333
AMZN,2025-12-05 10:20:00+00:00,230.06,230.06,229.86,229.86,2345.0,131.0,229.989652
AMZN,2025-12-05 10:25:00+00:00,230.0,230.06,230.0,230.05,765.0,23.0,230.026667
AMZN,2025-12-05 10:30:00+00:00,230.08,230.08,230.0,230.0,689.0,37.0,230.046667
AMZN,2025-12-05 10:35:00+00:00,230.03,230.4,229.99,230.27,5897.0,172.0,230.254122
