date,open,high,low,close,volume
2025-06-10 10:05:00+00:00,696.46,696.46,696.46,696.46,100.0
2025-06-10 10:10:00+00:00,696.6,696.6,696.6,696.6,298.0
2025-06-10 10:30:00+00:00,697.24,700.0,697.24,700.0,11661.0
2025-06-10 10:35:00+00:00,700.49,702.74,700.49,702.74,5160.0
2025-06-10 10:50:00+00:00,699.5,699.5,699.2,699.2,332.0
2025-06-10 10:55:00+00:00,699.22,699.22,699.22,699.22,401.0
2025-06-10 11:00:00+00:00,699.56,699.56,698.55,698.99,2717.0
2025-06-10 11:05:00+00:00,698.5,698.5,697.83,697.83,819.0
2025-06-10 11:15:00+00:00,698.2,698.2,698.2,698.2,250.0
2025-06-10 11:20:00+00:00,698.72,698.74,698.72,698.74,1145.0
2025-06-10 11:25:00+00:00,699.0,699.0,699.0,699.0,834.0
2025-06-10 11:30:00+00:00,700.0,700.0,700.0,700.0,1768.0
2025-06-10 11:35:00+00:00,699.75,699.75,699.75,699.75,929.0
2025-06-10 11:50:00+00:00,700.3,700.3,700.26,700.28,985.0
2025-06-10 11:55:00+00:00,700.67,700.9,700.67,700.9,1753.0
2025-06-10 12:00:00+00:00,699.5,701.37,692.91,700.6,29236.0
2025-06-10 12:05:00+00:00,700.79,701.0,700.7,701.0,3172.0
2025-06-10 12:10:00+00:00,700.8478,701.41,700.7014,701.41,6756.0
2025-06-10 12:15:00+00:00,701.98,701.98,701.0,701.0,3631.0
2025-06-10 12:20:00+00:00,701.2,701.2,701.0,701.0,1245.0
2025-06-10 12:25:00+00:00,701.1,701.1,701.0,701.0001,3782.0
2025-06-10 12:30:00+00:00,701.0,701.4461,701.0,701.0,1943.0
2025-06-10 12:35:00+00:00,701.29,701.4,701.2,701.4,4926.0
2025-06-10 12:40:00+00:00,701.48,701.75,701.23,701.74,5007.0
2025-06-10 12:45:00+00:00,701.75,702.0,701.5,701.71,9563.0
2025-06-10 12:50:00+00:00,701.6,702.0,701.6,702.0,11625.0
2025-06-10 12:55:00+00:00,702.0,702.4,702.0,702.4,4677.0
2025-06-10 13:00:00+00:00,702.25,702.8066,702.25,702.49,12575.0
2025-06-10 13:05:00+00:00,701.78,702.07,701.78,702.07,3381.0
2025-06-10 13:10:00+00:00,702.18,702.85,702.0003,702.7,6637.0
2025-06-10 13:15:00+00:00,702.25,702.67,702.0,702.67,4678.0
2025-06-10 13:20:00+00:00,702.2,702.2,701.25,701.25,7556.0
2025-06-10 13:25:00+00:00,702.71,704.0,700.0,701.28,25128.0
2025-06-10 13:30:00+00:00,700.81,701.8017,696.58,697.72,612006.0
2025-06-10 13:35:00+00:00,698.0,701.88,697.8,701.41,360199.0
2025-06-10 13:40:00+00:00,701.31,702.95,699.77,701.72,331017.0
2025-06-10 13:45:00+00:00,701.72,703.23,699.88,700.3,224806.0
2025-06-10 13:50:00+00:00,700.37,700.44,697.87,698.75,172994.0
