date,open,high,low,close,volume
2024-12-02 09:45:00+00:00,6.8,6.83,6.8,6.83,6113.0
2024-12-02 09:50:00+00:00,6.82,6.86,6.82,6.84,7764.0
2024-12-02 09:55:00+00:00,6.84,6.86,6.84,6.86,7827.0
2024-12-02 10:00:00+00:00,6.86,6.88,6.85,6.88,3793.0
2024-12-02 10:05:00+00:00,6.89,6.9,6.85,6.86,11819.0
2024-12-02 10:10:00+00:00,6.87,6.87,6.85,6.86,5368.0
2024-12-02 10:15:00+00:00,6.87,6.88,6.86,6.87,5493.0
2024-12-02 10:20:00+00:00,6.87,6.9,6.86,6.89,7087.0
2024-12-02 10:25:00+00:00,6.9,6.9,6.89,6.9,1204.0
2024-12-02 10:30:00+00:00,6.9,6.9,6.9,6.9,5141.0
2024-12-02 10:35:00+00:00,6.9,6.9,6.89,6.89,4156.0
2024-12-02 10:40:00+00:00,6.9,6.9,6.89,6.89,5742.0
2024-12-02 10:45:00+00:00,6.9,6.9,6.89,6.89,2500.0
2024-12-02 10:50:00+00:00,6.9,6.91,6.9,6.91,5619.0
2024-12-02 10:55:00+00:00,6.92,6.93,6.92,6.93,3646.0
2024-12-02 11:00:00+00:00,6.93,6.98,6.93,6.98,6538.0
2024-12-02 11:05:00+00:00,6.98,7.0,6.98,7.0,8521.0
2024-12-02 11:10:00+00:00,7.0,7.0,6.98,6.99,8583.0
2024-12-02 11:15:00+00:00,7.0,7.07,7.0,7.04,13013.0
2024-12-02 11:20:00+00:00,7.04,7.11,7.04,7.11,20472.0
2024-12-02 11:25:00+00:00,7.1,7.16,7.1,7.12,16459.0
2024-12-02 11:30:00+00:00,7.11,7.11,7.07,7.08,12820.0
2024-12-02 11:35:00+00:00,7.08,7.1,7.07,7.1,5767.0
2024-12-02 11:40:00+00:00,7.1,7.19,7.08,7.16,22952.0
2024-12-02 11:45:00+00:00,7.18,7.35,7.18,7.29,50673.0
2024-12-02 11:50:00+00:00,7.3,7.47,7.22,7.42,61943.0
2024-12-02 11:55:00+00:00,7.42,7.7,7.37,7.6,166918.0
2024-12-02 12:00:00+00:00,7.59,7.6,7.4,7.54,171422.0
2024-12-02 12:05:00+00:00,7.56,7.56,7.51,7.51,23430.0
2024-12-02 12:10:00+00:00,7.52,7.52,7.32,7.38,99577.0
2024-12-02 12:15:00+00:00,7.37,7.49,7.32,7.48,28357.0
2024-12-02 12:20:00+00:00,7.48,7.51,7.32,7.32,37459.0
2024-12-02 12:25:00+00:00,7.32,7.32,7.23,7.23,56573.0
2024-12-02 12:30:00+00:00,7.22,7.29,7.19,7.29,36352.0
2024-12-02 12:35:00+00:00,7.28,7.3,7.25,7.3,9770.0
2024-12-02 12:40:00+00:00,7.3,7.37,7.3,7.339,11469.0
2024-12-02 12:45:00+00:00,7.32,7.32,7.27,7.27,18261.0
2024-12-02 12:50:00+00:00,7.27,7.3,7.22,7.24,23683.0
2024-12-02 12:55:00+00:00,7.26,7.26,7.23,7.25,9801.0
2024-12-02 13:00:00+00:00,7.41,7.6772,6.7601,7.24,942935.0
2024-12-02 13:05:00+00:00,7.24,7.29,7.24,7.29,47500.0
2024-12-02 13:10:00+00:00,7.29,7.3976,7.29,7.3824,93722.0
2024-12-02 13:15:00+00:00,7.3977,7.4,7.35,7.3624,40884.0
2024-12-02 13:20:00+00:00,7.3777,7.38,7.26,7.27,62851.0
2024-12-02 13:25:00+00:00,7.29,7.37,7.27,7.3699,33431.0
2024-12-02 13:30:00+00:00,7.3601,7.37,7.31,7.34,21515.0
2024-12-02 13:35:00+00:00,7.32,7.45,7.32,7.42,45944.0
2024-12-02 13:40:00+00:00,7.42,7.47,7.38,7.39,83765.0
2024-12-02 13:45:00+00:00,7.4,7.44,7.3999,7.42,29467.0
2024-12-02 13:50:00+00:00,7.41,7.44,7.39,7.43,34639.0
2024-12-02 13:55:00+00:00,7.43,7.44,7.4,7.42,42022.0
2024-12-02 14:00:00+00:00,7.4199,7.42,7.35,7.3724,43579.0
2024-12-02 14:05:00+00:00,7.3724,7.39,7.35,7.38,24136.0
2024-12-02 14:10:00+00:00,7.3899,7.42,7.38,7.4,46588.0
2024-12-02 14:15:00+00:00,7.39,7.39,7.27,7.28,89374.0
2024-12-02 14:20:00+00:00,7.2724,7.32,7.1999,7.3,87694.0
2024-12-02 14:25:00+00:00,7.3,7.37,7.27,7.2888,59965.0
2024-12-02 14:30:00+00:00,7.33,7.56,7.16,7.17,1843503.0
2024-12-02 14:35:00+00:00,7.16,7.199,6.63,6.835,1880808.0
2024-12-02 14:40:00+00:00,6.845,6.94,6.7,6.9283,791115.0
2024-12-02 14:45:00+00:00,6.92,6.93,6.76,6.76,582907.0
2024-12-02 14:50:00+00:00,6.7601,6.8693,6.66,6.685,599473.0
2024-12-02 14:55:00+00:00,6.7,6.8,6.67,6.7397,473112.0
2024-12-02 15:00:00+00:00,6.72,6.81,6.52,6.61,745326.0
2024-12-02 15:05:00+00:00,6.631,6.75,6.62,6.6401,445237.0
2024-12-02 15:10:00+00:00,6.66,6.77,6.63,6.75,318862.0
2024-12-02 15:15:00+00:00,6.7502,6.88,6.68,6.8514,345610.0
2024-12-02 15:20:00+00:00,6.8599,6.92,6.82,6.8993,342294.0
2024-12-02 15:25:00+00:00,6.8959,7.0,6.87,6.96,413802.0
2024-12-02 15:30:00+00:00,6.97,7.01,6.9,6.92,282350.0
2024-12-02 15:35:00+00:00,6.91,6.9497,6.8,6.81,328974.0
2024-12-02 15:40:00+00:00,6.8203,6.8795,6.8,6.815,191486.0
2024-12-02 15:45:00+00:00,6.82,6.86,6.8,6.835,98080.0
2024-12-02 15:50:00+00:00,6.8285,6.8385,6.71,6.785,211454.0
2024-12-02 15:55:00+00:00,6.785,6.8,6.75,6.75,143714.0
2024-12-02 16:00:00+00:00,6.78,6.7989,6.68,6.7195,164176.0
2024-12-02 16:05:00+00:00,6.715,6.7498,6.69,6.7,112587.0
2024-12-02 16:10:00+00:00,6.69,6.71,6.67,6.705,129986.0
2024-12-02 16:15:00+00:00,6.7,6.74,6.67,6.6783,126194.0
2024-12-02 16:20:00+00:00,6.67,6.69,6.63,6.6831,124691.0
2024-12-02 16:25:00+00:00,6.67,6.7,6.64,6.66,146773.0
2024-12-02 16:30:00+00:00,6.65,6.66,6.53,6.56,407589.0
2024-12-02 16:35:00+00:00,6.5514,6.56,6.42,6.5288,639257.0
2024-12-02 16:40:00+00:00,6.525,6.53,6.4224,6.435,194682.0
2024-12-02 16:45:00+00:00,6.4388,6.5,6.37,6.395,322109.0
2024-12-02 16:50:00+00:00,6.395,6.4599,6.35,6.42,229298.0
2024-12-02 16:55:00+00:00,6.41,6.51,6.41,6.4601,159841.0
2024-12-02 17:00:00+00:00,6.461,6.5,6.46,6.49,89290.0
2024-12-02 17:05:00+00:00,6.49,6.53,6.4801,6.4863,119237.0
2024-12-02 17:10:00+00:00,6.4801,6.54,6.4643,6.5369,104230.0
2024-12-02 17:15:00+00:00,6.525,6.58,6.495,6.51,102487.0
2024-12-02 17:20:00+00:00,6.51,6.5398,6.48,6.5176,130818.0
2024-12-02 17:25:00+00:00,6.5,6.5,6.46,6.461,81988.0
2024-12-02 17:30:00+00:00,6.46,6.4688,6.41,6.435,160847.0
2024-12-02 17:35:00+00:00,6.44,6.4477,6.41,6.4399,78953.0
2024-12-02 17:40:00+00:00,6.4312,6.4574,6.4,6.44,86925.0
2024-12-02 17:45:00+00:00,6.44,6.47,6.43,6.4501,73823.0
2024-12-02 17:50:00+00:00,6.455,6.47,6.42,6.4571,95501.0
2024-12-02 17:55:00+00:00,6.455,6.4793,6.45,6.47,45452.0
2024-12-02 18:00:00+00:00,6.47,6.4767,6.4206,6.45,86189.0
2024-12-02 18:05:00+00:00,6.46,6.49,6.45,6.4788,103231.0
2024-12-02 18:10:00+00:00,6.48,6.5065,6.4201,6.45,78303.0
2024-12-02 18:15:00+00:00,6.45,6.5,6.42,6.465,100904.0
2024-12-02 18:20:00+00:00,6.47,6.47,6.44,6.44,44386.0
2024-12-02 18:25:00+00:00,6.43,6.44,6.4,6.4012,68834.0
2024-12-02 18:30:00+00:00,6.405,6.42,6.35,6.38,274464.0
2024-12-02 18:35:00+00:00,6.3613,6.4,6.36,6.39,62072.0
2024-12-02 18:40:00+00:00,6.395,6.46,6.39,6.43,150740.0
2024-12-02 18:45:00+00:00,6.4442,6.4963,6.4303,6.4548,80635.0
2024-12-02 18:50:00+00:00,6.4505,6.4799,6.4318,6.4523,27212.0
2024-12-02 18:55:00+00:00,6.46,6.4692,6.45,6.45,31660.0
2024-12-02 19:00:00+00:00,6.455,6.455,6.4,6.4169,140019.0
2024-12-02 19:05:00+00:00,6.4274,6.43,6.4,6.4,53051.0
