date,open,high,low,close,volume
2024-08-28 11:00:00+00:00,6.13,6.13,6.13,6.13,160.0
2024-08-28 11:05:00+00:00,6.12,6.12,6.12,6.12,158.0
2024-08-28 11:10:00+00:00,6.13,6.14,6.13,6.13,2211.0
2024-08-28 11:15:00+00:00,6.13,6.13,6.13,6.13,117.0
2024-08-28 11:25:00+00:00,6.13,6.13,6.12,6.12,3353.0
2024-08-28 11:30:00+00:00,6.13,6.13,6.13,6.13,329.0
2024-08-28 11:35:00+00:00,6.13,6.13,6.13,6.13,462.0
2024-08-28 11:40:00+00:00,6.13,6.13,6.13,6.13,2955.0
2024-08-28 11:45:00+00:00,6.14,6.14,6.14,6.14,1858.0
2024-08-28 11:50:00+00:00,6.14,6.15,6.14,6.15,2700.0
2024-08-28 11:55:00+00:00,6.14,6.16,6.14,6.14,2797.0
2024-08-28 12:00:00+00:00,6.12,6.17,6.12,6.15,55080.0
2024-08-28 12:05:00+00:00,6.15,6.15,6.1488,6.15,2450.0
2024-08-28 12:10:00+00:00,6.16,6.18,6.14,6.14,61125.0
2024-08-28 12:15:00+00:00,6.16,6.16,6.15,6.15,4217.0
2024-08-28 12:20:00+00:00,6.15,6.15,6.14,6.14,1295.0
2024-08-28 12:25:00+00:00,6.16,6.16,6.14,6.16,77906.0
2024-08-28 12:30:00+00:00,6.16,6.16,6.14,6.16,15853.0
2024-08-28 12:35:00+00:00,6.16,6.16,6.13,6.13,59551.0
2024-08-28 12:40:00+00:00,6.13,6.13,6.06,6.07,4652.0
2024-08-28 12:45:00+00:00,6.08,6.0999,6.0604,6.0802,9421.0
2024-08-28 12:50:00+00:00,6.09,6.1,6.09,6.1,4975.0
2024-08-28 12:55:00+00:00,6.1,6.1,6.06,6.07,13467.0
2024-08-28 13:00:00+00:00,6.06,6.09,6.05,6.07,17720.0
2024-08-28 13:05:00+00:00,6.09,6.0996,6.06,6.06,24457.0
2024-08-28 13:10:00+00:00,6.05,6.0612,6.05,6.06,7416.0
2024-08-28 13:15:00+00:00,6.05,6.12,6.05,6.05,342234.0
2024-08-28 13:20:00+00:00,6.05,6.07,6.05,6.07,6436.0
2024-08-28 13:25:00+00:00,6.05,6.06,6.02,6.03,21030.0
2024-08-28 13:30:00+00:00,6.02,6.045,5.96,5.9962,927411.0
2024-08-28 13:35:00+00:00,5.9943,6.035,5.97,5.9899,368606.0
2024-08-28 13:40:00+00:00,5.985,6.06,5.98,5.995,305169.0
2024-08-28 13:45:00+00:00,6.0,6.11,5.99,6.06,553944.0
2024-08-28 13:50:00+00:00,6.07,6.18,6.065,6.175,483017.0
2024-08-28 13:55:00+00:00,6.175,6.25,6.14,6.2,379383.0
2024-08-28 14:00:00+00:00,6.205,6.205,6.15,6.162,191269.0
2024-08-28 14:05:00+00:00,6.1651,6.1799,6.13,6.1763,202315.0
2024-08-28 14:10:00+00:00,6.17,6.17,6.11,6.1201,138274.0
2024-08-28 14:15:00+00:00,6.12,6.1597,6.115,6.156,97867.0
2024-08-28 14:20:00+00:00,6.155,6.17,6.15,6.155,102375.0
2024-08-28 14:25:00+00:00,6.155,6.155,6.11,6.1188,91335.0
2024-08-28 14:30:00+00:00,6.1101,6.16,6.1101,6.145,83325.0
2024-08-28 14:35:00+00:00,6.145,6.16,6.14,6.145,36729.0
2024-08-28 14:40:00+00:00,6.1452,6.17,6.12,6.125,102968.0
2024-08-28 14:45:00+00:00,6.13,6.1385,6.1101,6.1101,85588.0
2024-08-28 14:50:00+00:00,6.115,6.14,6.105,6.135,66958.0
2024-08-28 14:55:00+00:00,6.1377,6.155,6.11,6.111,75726.0
2024-08-28 15:00:00+00:00,6.115,6.1399,6.09,6.13,61814.0
2024-08-28 15:05:00+00:00,6.125,6.15,6.12,6.1274,55330.0
2024-08-28 15:10:00+00:00,6.1203,6.13,6.06,6.08,135238.0
2024-08-28 15:15:00+00:00,6.075,6.0899,6.04,6.045,78840.0
2024-08-28 15:20:00+00:00,6.04,6.09,6.04,6.08,102190.0
2024-08-28 15:25:00+00:00,6.0899,6.1,6.07,6.075,140337.0
2024-08-28 15:30:00+00:00,6.075,6.0874,6.02,6.03,308138.0
2024-08-28 15:35:00+00:00,6.03,6.11,6.03,6.11,48245.0
2024-08-28 15:40:00+00:00,6.105,6.135,6.1,6.13,61650.0
2024-08-28 15:45:00+00:00,6.1256,6.14,6.1256,6.135,28079.0
2024-08-28 15:50:00+00:00,6.135,6.145,6.12,6.135,63531.0
2024-08-28 15:55:00+00:00,6.135,6.14,6.13,6.132,69646.0
2024-08-28 16:00:00+00:00,6.13,6.13,6.1,6.1001,69014.0
2024-08-28 16:05:00+00:00,6.1,6.1,6.07,6.0899,81951.0
2024-08-28 16:10:00+00:00,6.08,6.085,6.055,6.075,100566.0
2024-08-28 16:15:00+00:00,6.07,6.075,6.05,6.0605,36325.0
2024-08-28 16:20:00+00:00,6.065,6.065,6.02,6.03,56657.0
2024-08-28 16:25:00+00:00,6.025,6.0499,6.02,6.04,87305.0
2024-08-28 16:30:00+00:00,6.045,6.0699,6.035,6.065,66140.0
2024-08-28 16:35:00+00:00,6.065,6.08,6.06,6.0743,44567.0
2024-08-28 16:40:00+00:00,6.08,6.086,6.05,6.065,77135.0
2024-08-28 16:45:00+00:00,6.065,6.0795,6.06,6.0719,25571.0
2024-08-28 16:50:00+00:00,6.074,6.11,6.07,6.105,107788.0
2024-08-28 16:55:00+00:00,6.105,6.11,6.084,6.085,30839.0
2024-08-28 17:00:00+00:00,6.09,6.095,6.0501,6.055,60138.0
2024-08-28 17:05:00+00:00,6.0503,6.06,6.0401,6.055,119434.0
2024-08-28 17:10:00+00:00,6.05,6.055,6.02,6.025,136602.0
2024-08-28 17:15:00+00:00,6.0208,6.0486,6.02,6.0477,157277.0
2024-08-28 17:20:00+00:00,6.05,6.055,6.03,6.035,61803.0
2024-08-28 17:25:00+00:00,6.035,6.05,6.01,6.027,90872.0
2024-08-28 17:30:00+00:00,6.0201,6.04,6.02,6.0312,42904.0
2024-08-28 17:35:00+00:00,6.04,6.058,6.03,6.035,58393.0
2024-08-28 17:40:00+00:00,6.035,6.035,6.0122,6.0122,35171.0
2024-08-28 17:45:00+00:00,6.01,6.0157,6.01,6.015,22686.0
2024-08-28 17:50:00+00:00,6.015,6.015,6.0,6.005,147597.0
2024-08-28 17:55:00+00:00,6.005,6.02,5.98,5.985,147881.0
2024-08-28 18:00:00+00:00,5.985,5.99,5.97,5.985,96297.0
2024-08-28 18:05:00+00:00,5.98,6.015,5.98,6.015,116388.0
2024-08-28 18:10:00+00:00,6.015,6.0185,5.99,5.995,32546.0
2024-08-28 18:15:00+00:00,5.995,6.0,5.99,6.0,30599.0
2024-08-28 18:20:00+00:00,6.0,6.025,5.9912,5.995,180800.0
2024-08-28 18:25:00+00:00,5.995,6.0,5.99,6.0,64321.0
2024-08-28 18:30:00+00:00,5.9932,6.02,5.99,5.9957,81766.0
2024-08-28 18:35:00+00:00,5.995,6.005,5.99,6.0012,57137.0
2024-08-28 18:40:00+00:00,6.0001,6.0199,6.0,6.005,27982.0
2024-08-28 18:45:00+00:00,6.005,6.01,6.0,6.0,46130.0
2024-08-28 18:50:00+00:00,6.005,6.045,6.0,6.04,87315.0
2024-08-28 18:55:00+00:00,6.05,6.0598,6.03,6.0598,52425.0
2024-08-28 19:00:00+00:00,6.055,6.065,6.05,6.055,61364.0
2024-08-28 19:05:00+00:00,6.05,6.05,6.02,6.03,81269.0
2024-08-28 19:10:00+00:00,6.03,6.06,6.025,6.06,117656.0
2024-08-28 19:15:00+00:00,6.06,6.07,6.054,6.065,49676.0
2024-08-28 19:20:00+00:00,6.0675,6.075,6.05,6.06,87044.0
2024-08-28 19:25:00+00:00,6.06,6.0689,6.05,6.065,64111.0
2024-08-28 19:30:00+00:00,6.065,6.0688,6.04,6.045,110052.0
2024-08-28 19:35:00+00:00,6.045,6.05,6.0,6.025,1837592.0
2024-08-28 19:40:00+00:00,6.02,6.07,6.02,6.065,120817.0
2024-08-28 19:45:00+00:00,6.065,6.08,6.05,6.0595,144719.0
2024-08-28 19:50:00+00:00,6.06,6.07,6.04,6.0663,175659.0
2024-08-28 19:55:00+00:00,6.07,6.1,6.07,6.0887,404721.0
2024-08-28 20:00:00+00:00,6.09,6.09,6.08,6.09,421990.0
2024-08-28 20:05:00+00:00,6.08,6.08,6.07,6.07,2852.0
2024-08-28 20:10:00+00:00,6.07,6.08,6.07,6.07,3712.0
2024-08-28 20:15:00+00:00,6.07,6.08,6.07,6.08,900.0
2024-08-28 20:20:00+00:00,6.08,6.09,6.07,6.09,4714.0
2024-08-28 20:25:00+00:00,6.07,6.09,6.06,6.09,4999.0
2024-08-28 20:30:00+00:00,6.07,6.07,6.05,6.06,3004.0
2024-08-28 20:35:00+00:00,6.06,6.08,6.05,6.08,4967.0
2024-08-28 20:40:00+00:00,6.08,6.08,6.06,6.07,25031.0
2024-08-28 20:45:00+00:00,6.07,6.07,6.06,6.07,2370.0
2024-08-28 20:50:00+00:00,6.05,6.07,6.05,6.06,13040.0
2024-08-28 20:55:00+00:00,6.06,6.06,6.04,6.0599,27056.0
2024-08-28 21:00:00+00:00,6.06,6.06,6.05,6.05,253.0
2024-08-28 21:05:00+00:00,6.05,6.05,6.05,6.05,1260.0
2024-08-28 21:10:00+00:00,6.06,6.06,6.05,6.06,2552.0
2024-08-28 21:15:00+00:00,6.07,6.07,6.06,6.07,3953.0
2024-08-28 21:20:00+00:00,6.06,6.09,6.06,6.09,5120.0
2024-08-28 21:25:00+00:00,6.06,6.09,6.06,6.06,3018.0
2024-08-28 21:30:00+00:00,6.0601,6.07,6.0601,6.07,2454.0
2024-08-28 21:35:00+00:00,6.09,6.09,6.06,6.09,1103.0
