date,open,high,low,close,volume
2024-11-25 09:00:00+00:00,31.0,31.24,30.5,31.24,21079.0
2024-11-25 09:05:00+00:00,31.36,31.9,31.11,31.52,25976.0
2024-11-25 09:10:00+00:00,31.52,31.53,31.29,31.38,9103.0
2024-11-25 09:15:00+00:00,31.42,31.76,31.42,31.55,9127.0
2024-11-25 09:20:00+00:00,31.56,31.56,31.25,31.34,15680.0
2024-11-25 09:25:00+00:00,31.41,31.46,31.41,31.42,5353.0
2024-11-25 09:30:00+00:00,31.43,31.45,31.41,31.41,2903.0
2024-11-25 09:35:00+00:00,31.52,31.59,31.41,31.46,23383.0
2024-11-25 09:40:00+00:00,31.44,31.44,31.43,31.43,2957.0
2024-11-25 09:45:00+00:00,31.5,31.64,31.49,31.63,3043.0
2024-11-25 09:50:00+00:00,31.72,31.82,31.68,31.78,6679.0
2024-11-25 09:55:00+00:00,31.81,32.15,31.8,32.15,15458.0
2024-11-25 10:00:00+00:00,32.18,32.39,32.09,32.14,17664.0
2024-11-25 10:05:00+00:00,32.09,32.1,32.05,32.07,4081.0
2024-11-25 10:10:00+00:00,32.07,32.31,32.07,32.31,4666.0
2024-11-25 10:15:00+00:00,32.34,32.75,32.34,32.54,11958.0
2024-11-25 10:20:00+00:00,32.54,32.7,32.48,32.52,9231.0
2024-11-25 10:25:00+00:00,32.52,32.98,32.52,32.9,21922.0
2024-11-25 10:30:00+00:00,32.82,32.86,32.67,32.67,8601.0
2024-11-25 10:35:00+00:00,32.7,32.7,32.41,32.41,11680.0
2024-11-25 10:40:00+00:00,32.41,32.47,32.26,32.35,5828.0
2024-11-25 10:45:00+00:00,32.3,32.45,32.3,32.38,4746.0
2024-11-25 10:50:00+00:00,32.43,32.44,32.29,32.29,4707.0
2024-11-25 10:55:00+00:00,32.33,32.33,32.05,32.12,10316.0
2024-11-25 11:00:00+00:00,32.19,32.3,32.19,32.29,2635.0
2024-11-25 11:05:00+00:00,32.29,32.31,32.27,32.27,3440.0
2024-11-25 11:10:00+00:00,32.16,32.21,32.16,32.2,1546.0
2024-11-25 11:15:00+00:00,32.23,32.23,32.1,32.1,3299.0
2024-11-25 11:20:00+00:00,32.14,32.14,32.07,32.07,1752.0
2024-11-25 11:25:00+00:00,32.1,32.18,32.1,32.12,1264.0
2024-11-25 11:30:00+00:00,32.13,32.29,32.13,32.29,3070.0
2024-11-25 11:35:00+00:00,32.26,32.35,32.17,32.23,4801.0
2024-11-25 11:40:00+00:00,32.3,32.3,32.26,32.26,2708.0
2024-11-25 11:45:00+00:00,32.21,32.21,32.15,32.15,1475.0
2024-11-25 11:50:00+00:00,32.13,32.25,32.09,32.25,5304.0
2024-11-25 11:55:00+00:00,32.17,32.2,32.0,32.0,17866.0
2024-11-25 12:00:00+00:00,32.0,32.11,31.62,31.81,35611.0
2024-11-25 12:05:00+00:00,31.73,31.92,31.72,31.79,6021.0
2024-11-25 12:10:00+00:00,31.75,31.78,31.7,31.71,5875.0
2024-11-25 12:15:00+00:00,31.76,31.8,31.7,31.7,6958.0
2024-11-25 12:20:00+00:00,31.72,31.74,31.5,31.5,19885.0
2024-11-25 12:25:00+00:00,31.44,31.6,31.43,31.44,12503.0
2024-11-25 12:30:00+00:00,31.53,31.6,31.49,31.5,4634.0
2024-11-25 12:35:00+00:00,31.6,31.71,31.6,31.71,1723.0
2024-11-25 12:40:00+00:00,31.76,31.76,31.69,31.69,1233.0
2024-11-25 12:45:00+00:00,31.77,31.89,31.77,31.89,1404.0
2024-11-25 12:50:00+00:00,31.91,31.92,31.79,31.8,3838.0
2024-11-25 12:55:00+00:00,31.77,31.77,31.7,31.75,4994.0
