date,open,high,low,close,volume
2025-12-19 09:45:00+00:00,223.25,223.25,223.25,223.25,317.0
2025-12-19 09:50:00+00:00,223.25,223.36,223.25,223.36,1839.0
2025-12-19 10:10:00+00:00,223.49,223.49,223.32,223.32,421.0
2025-12-19 10:15:00+00:00,223.08,223.08,223.02,223.02,1021.0
2025-12-19 10:25:00+00:00,223.5,223.5,223.0,223.0,1163.0
2025-12-19 10:35:00+00:00,223.3,223.3,222.66,222.66,1258.0
2025-12-19 10:40:00+00:00,222.22,222.22,222.22,222.22,500.0
2025-12-19 10:45:00+00:00,222.9,222.9,222.9,222.9,972.0
2025-12-19 10:50:00+00:00,222.55,222.55,222.55,222.55,275.0
2025-12-19 11:05:00+00:00,222.5,222.75,222.25,222.25,1987.0
2025-12-19 11:10:00+00:00,222.33,222.33,222.33,222.33,120.0
2025-12-19 11:25:00+00:00,221.99,222.0,221.99,222.0,616.0
2025-12-19 11:35:00+00:00,222.45,222.54,222.45,222.48,2194.0
2025-12-19 12:05:00+00:00,222.2,222.2,222.0,222.0,790.0
2025-12-19 12:10:00+00:00,221.58,221.58,221.3,221.3,1902.0
2025-12-19 12:15:00+00:00,221.44,221.44,220.5,220.5,2246.0
2025-12-19 12:20:00+00:00,220.64,220.75,220.64,220.75,790.0
2025-12-19 12:25:00+00:00,220.79,220.79,220.79,220.79,200.0
2025-12-19 12:30:00+00:00,221.15,221.15,220.98,220.98,820.0
2025-12-19 12:35:00+00:00,221.38,221.38,221.37,221.37,970.0
2025-12-19 12:40:00+00:00,222.25,222.25,222.25,222.25,417.0
2025-12-19 12:50:00+00:00,221.37,221.59,221.37,221.59,1304.0
2025-12-19 12:55:00+00:00,221.0,221.0,220.35,220.35,1024.0
2025-12-19 13:00:00+00:00,222.01,224.0,220.0,220.0,32384.0
2025-12-19 13:05:00+00:00,220.49,221.49,220.1988,221.49,1940.0
2025-12-19 13:10:00+00:00,220.06,220.1,220.06,220.1,532.0
2025-12-19 13:25:00+00:00,220.38,220.38,220.38,220.38,720.0
2025-12-19 13:30:00+00:00,220.5,220.5,220.5,220.5,358.0
2025-12-19 13:35:00+00:00,220.79,220.79,220.69,220.69,1315.0
2025-12-19 13:40:00+00:00,220.5,220.5,220.5,220.5,230.0
2025-12-19 13:45:00+00:00,221.14,221.15,221.14,221.15,1209.0
2025-12-19 13:55:00+00:00,220.4962,220.55,220.4962,220.55,993.0
2025-12-19 14:05:00+00:00,220.55,220.89,220.55,220.89,513.0
2025-12-19 14:15:00+00:00,221.39,221.39,221.0,221.0,1049.0
2025-12-19 14:20:00+00:00,221.58,221.58,221.25,221.4,2824.0
2025-12-19 14:25:00+00:00,221.0,223.0,220.0,222.35,17916.0
2025-12-19 14:30:00+00:00,222.29,229.89,221.0,228.19,481747.0
2025-12-19 14:35:00+00:00,228.045,231.9799,227.59,231.37,353742.0
2025-12-19 14:40:00+00:00,231.145,236.69,227.55,236.69,405545.0
2025-12-19 14:45:00+00:00,236.6,237.37,234.05,235.755,272364.0
2025-12-19 14:50:00+00:00,235.755,240.6,235.6,240.51,429142.0
2025-12-19 14:55:00+00:00,240.52,242.63,239.21,240.53,374302.0
2025-12-19 15:00:00+00:00,240.89,241.85,239.54,240.9405,262527.0
2025-12-19 15:05:00+00:00,240.9,240.97,237.5101,238.69,210860.0
2025-12-19 15:10:00+00:00,238.7334,238.9101,235.01,235.34,203382.0
2025-12-19 15:15:00+00:00,235.615,237.15,234.0,237.0582,145261.0
2025-12-19 15:20:00+00:00,237.0,237.1,234.25,234.3247,123714.0
2025-12-19 15:25:00+00:00,234.39,235.5999,233.3001,234.21,88228.0
2025-12-19 15:30:00+00:00,234.2,234.7,232.63,233.1099,119691.0
2025-12-19 15:35:00+00:00,232.83,234.68,232.62,234.3,84516.0
2025-12-19 15:40:00+00:00,234.0,234.3,232.23,233.0,79050.0
2025-12-19 15:45:00+00:00,233.11,233.75,232.0,232.62,70155.0
2025-12-19 15:50:00+00:00,232.7,234.23,232.4,234.05,60622.0
2025-12-19 15:55:00+00:00,234.1,235.9891,233.9001,234.97,105633.0
2025-12-19 16:00:00+00:00,235.03,236.5989,234.43,236.3,159109.0
2025-12-19 16:05:00+00:00,236.3,236.92,236.04,236.675,72353.0
2025-12-19 16:10:00+00:00,236.8,238.52,236.71,237.899,94763.0
2025-12-19 16:15:00+00:00,237.7,238.635,236.6487,237.87,106488.0
2025-12-19 16:20:00+00:00,237.4101,238.4,236.67,237.4,74196.0
2025-12-19 16:25:00+00:00,237.2,237.84,237.0,237.595,25810.0
2025-12-19 16:30:00+00:00,237.8,239.1022,237.56,238.525,69567.0
2025-12-19 16:35:00+00:00,238.35,238.94,237.7,237.73,55032.0
2025-12-19 16:40:00+00:00,237.63,238.65,237.45,238.07,33494.0
2025-12-19 16:45:00+00:00,238.19,238.58,237.5001,237.885,42229.0
2025-12-19 16:50:00+00:00,237.77,237.885,236.7665,237.225,53323.0
2025-12-19 16:55:00+00:00,237.245,238.02,236.53,237.845,45728.0
2025-12-19 17:00:00+00:00,237.99,239.7279,237.91,239.435,149046.0
2025-12-19 17:05:00+00:00,239.5447,241.96,239.219,241.17,179336.0
2025-12-19 17:10:00+00:00,240.8894,241.8999,240.8201,241.7776,90928.0
2025-12-19 17:15:00+00:00,241.74,243.71,241.67,242.19,205591.0
2025-12-19 17:20:00+00:00,242.165,242.279,240.44,241.72,98612.0
2025-12-19 17:25:00+00:00,241.72,242.5,241.1301,241.56,103452.0
2025-12-19 17:30:00+00:00,241.7,241.7,240.04,240.92,76570.0
2025-12-19 17:35:00+00:00,240.92,241.6499,240.3,240.75,42949.0
2025-12-19 17:40:00+00:00,240.75,240.75,239.66,239.89,41983.0
2025-12-19 17:45:00+00:00,239.86,240.2099,239.2901,239.64,29587.0
