date,open,high,low,close,volume
2026-07-01 10:55:00+00:00,130.7,130.7,130.7,130.7,200.0
2026-07-01 11:35:00+00:00,131.15,131.15,131.15,131.15,158.0
2026-07-01 12:05:00+00:00,130.12,130.12,130.06,130.06,402.0
2026-07-01 12:25:00+00:00,131.15,131.15,131.15,131.15,100.0
2026-07-01 12:50:00+00:00,130.48,130.48,130.48,130.48,161.0
2026-07-01 12:55:00+00:00,130.61,131.0,130.61,131.0,2483.0
2026-07-01 13:00:00+00:00,130.058,131.14,130.058,131.14,404.0
2026-07-01 13:25:00+00:00,130.0,130.0,129.76,129.76,1213.0
2026-07-01 13:30:00+00:00,129.8,130.29,127.37,127.37,135879.0
2026-07-01 13:35:00+00:00,127.53,127.65,126.7,127.65,150976.0
2026-07-01 13:40:00+00:00,127.6292,128.39,127.17,127.75,80930.0
2026-07-01 13:45:00+00:00,127.68,127.79,127.01,127.54,119349.0
2026-07-01 13:50:00+00:00,127.54,127.71,126.97,126.97,118542.0
2026-07-01 13:55:00+00:00,126.93,127.845,126.455,127.775,220087.0
2026-07-01 14:00:00+00:00,127.775,128.35,127.285,127.36,83866.0
2026-07-01 14:05:00+00:00,127.36,127.64,127.14,127.27,52894.0
2026-07-01 14:10:00+00:00,127.23,127.44,126.91,127.145,53236.0
2026-07-01 14:15:00+00:00,127.14,127.1628,126.61,126.85,101019.0
2026-07-01 14:20:00+00:00,126.88,127.7957,126.86,127.35,37191.0
2026-07-01 14:25:00+00:00,127.405,127.45,127.01,127.39,52588.0
2026-07-01 14:30:00+00:00,127.51,127.7,127.25,127.58,20755.0
2026-07-01 14:35:00+00:00,127.6,128.0999,127.55,128.0101,25649.0
2026-07-01 14:40:00+00:00,127.93,128.2,127.9,128.2,19292.0
2026-07-01 14:45:00+00:00,128.15,128.34,128.04,128.19,55826.0
2026-07-01 14:50:00+00:00,128.19,128.36,127.94,128.36,20606.0
2026-07-01 14:55:00+00:00,128.38,128.65,128.24,128.3475,61592.0
2026-07-01 15:00:00+00:00,128.385,128.66,128.33,128.395,55561.0
2026-07-01 15:05:00+00:00,128.5,128.565,128.28,128.31,49219.0
2026-07-01 15:10:00+00:00,128.26,128.915,128.11,128.915,120014.0
2026-07-01 15:15:00+00:00,128.98,129.07,128.49,128.775,59077.0
2026-07-01 15:20:00+00:00,128.7701,128.93,128.67,128.93,23905.0
2026-07-01 15:25:00+00:00,128.87,129.02,128.68,128.69,70461.0
2026-07-01 15:30:00+00:00,128.78,128.935,128.663,128.785,44620.0
2026-07-01 15:35:00+00:00,128.815,128.84,128.61,128.65,48633.0
2026-07-01 15:40:00+00:00,128.7,129.05,128.655,128.85,31042.0
2026-07-01 15:45:00+00:00,128.935,129.08,128.76,129.02,44522.0
2026-07-01 15:50:00+00:00,129.0,129.44,129.0,129.255,56360.0
2026-07-01 15:55:00+00:00,129.29,129.575,129.29,129.52,32562.0
2026-07-01 16:00:00+00:00,129.52,129.8484,129.49,129.805,94038.0
2026-07-01 16:05:00+00:00,129.76,129.83,129.63,129.83,20791.0
2026-07-01 16:10:00+00:00,129.81,129.86,129.4,129.78,90926.0
2026-07-01 16:15:00+00:00,129.795,129.9,129.68,129.88,15958.0
2026-07-01 16:20:00+00:00,129.91,130.06,129.71,129.85,60489.0
2026-07-01 16:25:00+00:00,129.85,129.91,129.77,129.89,34023.0
2026-07-01 16:30:00+00:00,129.9,129.99,129.73,129.8199,25033.0
