date,open,high,low,close,volume
2025-08-26 10:05:00+00:00,8.89,8.89,8.89,8.89,378.0
2025-08-26 10:10:00+00:00,8.9,8.9,8.9,8.9,391.0
2025-08-26 10:15:00+00:00,8.9,8.9,8.9,8.9,1820.0
2025-08-26 10:20:00+00:00,8.89,8.89,8.89,8.89,2051.0
2025-08-26 10:25:00+00:00,8.88,8.88,8.87,8.87,9071.0
2025-08-26 10:35:00+00:00,8.87,8.87,8.86,8.87,6017.0
2025-08-26 10:40:00+00:00,8.86,8.86,8.86,8.86,509.0
2025-08-26 10:45:00+00:00,8.86,8.86,8.85,8.85,3379.0
2025-08-26 10:50:00+00:00,8.85,8.85,8.84,8.85,6503.0
2025-08-26 10:55:00+00:00,8.84,8.84,8.84,8.84,601.0
2025-08-26 11:00:00+00:00,8.84,8.85,8.83,8.85,4083.0
2025-08-26 11:05:00+00:00,8.83,8.83,8.81,8.81,7606.0
2025-08-26 11:10:00+00:00,8.82,8.83,8.81,8.82,3726.0
2025-08-26 11:20:00+00:00,8.819,8.83,8.819,8.82,5515.0
2025-08-26 11:25:00+00:00,8.82,8.82,8.82,8.82,6222.0
2025-08-26 11:30:00+00:00,8.82,8.82,8.81,8.81,4915.0
2025-08-26 11:40:00+00:00,8.8,8.8,8.79,8.79,15220.0
2025-08-26 11:45:00+00:00,8.8,8.8,8.8,8.8,200.0
2025-08-26 11:50:00+00:00,8.81,8.81,8.78,8.78,7367.0
2025-08-26 11:55:00+00:00,8.79,8.81,8.78,8.78,6942.0
2025-08-26 12:00:00+00:00,8.83,8.9,8.78,8.81,127420.0
2025-08-26 12:05:00+00:00,8.81,8.81,8.8,8.8,9568.0
2025-08-26 12:10:00+00:00,8.8001,8.81,8.8,8.81,2974.0
2025-08-26 12:15:00+00:00,8.8097,8.81,8.79,8.8,26594.0
2025-08-26 12:20:00+00:00,8.81,8.81,8.8,8.81,2657.0
2025-08-26 12:25:00+00:00,8.82,8.84,8.82,8.83,2331.0
2025-08-26 12:30:00+00:00,8.83,8.85,8.83,8.85,2866.0
2025-08-26 12:35:00+00:00,8.8418,8.88,8.8418,8.87,28556.0
2025-08-26 12:40:00+00:00,8.8798,8.9,8.87,8.89,22322.0
2025-08-26 12:45:00+00:00,8.88,8.98,8.88,8.95,77656.0
2025-08-26 12:50:00+00:00,8.95,8.95,8.89,8.89,11263.0
2025-08-26 12:55:00+00:00,8.88,8.97,8.85,8.94,44462.0
2025-08-26 13:00:00+00:00,8.92,8.92,8.88,8.89,10254.0
2025-08-26 13:05:00+00:00,8.9,8.9,8.85,8.8599,14525.0
2025-08-26 13:10:00+00:00,8.8599,8.86,8.85,8.85,10295.0
2025-08-26 13:15:00+00:00,8.8503,8.9,8.8503,8.89,19450.0
2025-08-26 13:20:00+00:00,8.9,8.92,8.89,8.9,6539.0
2025-08-26 13:25:00+00:00,8.89,8.9,8.82,8.85,26154.0
2025-08-26 13:30:00+00:00,8.85,9.04,8.7994,9.04,830836.0
2025-08-26 13:35:00+00:00,9.0321,9.06,8.92,9.0054,519671.0
2025-08-26 13:40:00+00:00,9.0099,9.075,8.85,8.855,922706.0
2025-08-26 13:45:00+00:00,8.855,8.94,8.85,8.86,412774.0
2025-08-26 13:50:00+00:00,8.855,8.95,8.855,8.92,309516.0
2025-08-26 13:55:00+00:00,8.92,8.98,8.89,8.9572,351544.0
2025-08-26 14:00:00+00:00,8.955,8.99,8.945,8.9684,276437.0
2025-08-26 14:05:00+00:00,8.9646,8.965,8.89,8.93,332970.0
2025-08-26 14:10:00+00:00,8.94,9.06,8.935,9.045,573997.0
2025-08-26 14:15:00+00:00,9.045,9.0691,8.995,9.0001,568568.0
2025-08-26 14:20:00+00:00,9.0099,9.16,9.0099,9.1384,784330.0
2025-08-26 14:25:00+00:00,9.135,9.19,9.12,9.1865,822236.0
2025-08-26 14:30:00+00:00,9.1899,9.19,9.115,9.135,473821.0
2025-08-26 14:35:00+00:00,9.1316,9.185,9.1316,9.14,559509.0
2025-08-26 14:40:00+00:00,9.1412,9.1873,9.1,9.1207,730467.0
2025-08-26 14:45:00+00:00,9.13,9.15,9.0701,9.115,501093.0
2025-08-26 14:50:00+00:00,9.1175,9.17,9.11,9.1601,387805.0
2025-08-26 14:55:00+00:00,9.1699,9.225,9.12,9.12,542948.0
2025-08-26 15:00:00+00:00,9.1202,9.185,9.1124,9.1637,411542.0
2025-08-26 15:05:00+00:00,9.165,9.19,9.125,9.1372,312430.0
2025-08-26 15:10:00+00:00,9.1301,9.17,9.095,9.165,379118.0
2025-08-26 15:15:00+00:00,9.17,9.1799,9.1101,9.155,302512.0
2025-08-26 15:20:00+00:00,9.1599,9.16,9.09,9.0981,180124.0
2025-08-26 15:25:00+00:00,9.0974,9.12,9.04,9.065,423739.0
2025-08-26 15:30:00+00:00,9.06,9.105,9.05,9.0501,267727.0
2025-08-26 15:35:00+00:00,9.055,9.0953,9.05,9.075,232758.0
2025-08-26 15:40:00+00:00,9.0701,9.085,9.05,9.08,196556.0
2025-08-26 15:45:00+00:00,9.0776,9.1399,9.0739,9.1,162165.0
2025-08-26 15:50:00+00:00,9.095,9.11,9.0831,9.105,365028.0
2025-08-26 15:55:00+00:00,9.1001,9.1177,9.085,9.09,60166.0
2025-08-26 16:00:00+00:00,9.085,9.115,9.07,9.0853,151112.0
2025-08-26 16:05:00+00:00,9.09,9.11,9.08,9.08,79356.0
2025-08-26 16:10:00+00:00,9.08,9.12,9.08,9.1165,163533.0
2025-08-26 16:15:00+00:00,9.1199,9.15,9.11,9.125,361528.0
2025-08-26 16:20:00+00:00,9.1201,9.1758,9.115,9.155,257435.0
2025-08-26 16:25:00+00:00,9.16,9.21,9.1502,9.195,345159.0
2025-08-26 16:30:00+00:00,9.2,9.25,9.2,9.2176,664734.0
2025-08-26 16:35:00+00:00,9.2191,9.24,9.2001,9.2314,237552.0
2025-08-26 16:40:00+00:00,9.235,9.24,9.2,9.2187,217013.0
2025-08-26 16:45:00+00:00,9.215,9.24,9.1947,9.215,399020.0
2025-08-26 16:50:00+00:00,9.2167,9.29,9.21,9.2703,779123.0
2025-08-26 16:55:00+00:00,9.275,9.37,9.275,9.355,746718.0
2025-08-26 17:00:00+00:00,9.355,9.36,9.29,9.3101,622291.0
2025-08-26 17:05:00+00:00,9.3112,9.33,9.23,9.2401,338525.0
2025-08-26 17:10:00+00:00,9.245,9.2458,9.2,9.225,369544.0
2025-08-26 17:15:00+00:00,9.225,9.26,9.185,9.245,381909.0
2025-08-26 17:20:00+00:00,9.245,9.26,9.23,9.2482,235747.0
2025-08-26 17:25:00+00:00,9.2453,9.2453,9.2,9.205,244326.0
2025-08-26 17:30:00+00:00,9.205,9.32,9.205,9.3,498135.0
2025-08-26 17:35:00+00:00,9.3,9.3001,9.2701,9.28,408405.0
2025-08-26 17:40:00+00:00,9.2712,9.28,9.24,9.265,559026.0
2025-08-26 17:45:00+00:00,9.27,9.31,9.241,9.305,383339.0
2025-08-26 17:50:00+00:00,9.308,9.32,9.26,9.265,333910.0
2025-08-26 17:55:00+00:00,9.265,9.31,9.26,9.3,396138.0
2025-08-26 18:00:00+00:00,9.295,9.33,9.26,9.2632,267383.0
2025-08-26 18:05:00+00:00,9.265,9.28,9.235,9.245,338959.0
2025-08-26 18:10:00+00:00,9.245,9.29,9.2407,9.2699,344041.0
2025-08-26 18:15:00+00:00,9.27,9.28,9.24,9.25,329192.0
2025-08-26 18:20:00+00:00,9.25,9.26,9.21,9.225,273327.0
2025-08-26 18:25:00+00:00,9.225,9.24,9.2,9.2,238643.0
2025-08-26 18:30:00+00:00,9.205,9.2365,9.1838,9.185,287041.0
2025-08-26 18:35:00+00:00,9.19,9.2465,9.18,9.2456,563237.0
2025-08-26 18:40:00+00:00,9.24,9.28,9.24,9.255,681934.0
2025-08-26 18:45:00+00:00,9.255,9.265,9.21,9.2167,196328.0
2025-08-26 18:50:00+00:00,9.2142,9.25,9.21,9.235,186379.0
2025-08-26 18:55:00+00:00,9.235,9.2499,9.2,9.21,166912.0
2025-08-26 19:00:00+00:00,9.215,9.24,9.2,9.23,161509.0
2025-08-26 19:05:00+00:00,9.2264,9.23,9.19,9.23,377329.0
2025-08-26 19:10:00+00:00,9.2289,9.255,9.22,9.245,291057.0
2025-08-26 19:15:00+00:00,9.245,9.27,9.23,9.255,445354.0
2025-08-26 19:20:00+00:00,9.255,9.28,9.245,9.25,442925.0
2025-08-26 19:25:00+00:00,9.255,9.27,9.23,9.26,465910.0
2025-08-26 19:30:00+00:00,9.265,9.27,9.19,9.195,745589.0
2025-08-26 19:35:00+00:00,9.2,9.2,9.16,9.17,321730.0
2025-08-26 19:40:00+00:00,9.165,9.17,9.13,9.135,647340.0
2025-08-26 19:45:00+00:00,9.14,9.17,9.1317,9.165,523196.0
2025-08-26 19:50:00+00:00,9.17,9.24,9.165,9.225,930193.0
2025-08-26 19:55:00+00:00,9.23,9.26,9.21,9.245,1592648.0
2025-08-26 20:00:00+00:00,9.24,9.2482,9.2,9.24,1689343.0
2025-08-26 20:05:00+00:00,9.2498,9.2498,9.2,9.23,29357.0
2025-08-26 20:10:00+00:00,9.23,9.23,9.22,9.22,22977.0
2025-08-26 20:15:00+00:00,9.23,9.25,9.23,9.24,2774.0
2025-08-26 20:20:00+00:00,9.2498,9.2499,9.24,9.2499,3242.0
2025-08-26 20:25:00+00:00,9.25,9.25,9.22,9.2205,150780.0
2025-08-26 20:30:00+00:00,9.23,9.23,9.2101,9.2101,3008.0
2025-08-26 20:35:00+00:00,9.23,9.23,9.2101,9.22,940.0
2025-08-26 20:40:00+00:00,9.21,9.22,9.21,9.2101,28466.0
2025-08-26 20:45:00+00:00,9.21,9.21,9.21,9.21,626.0
2025-08-26 20:50:00+00:00,9.21,9.22,9.21,9.2101,1855.0
2025-08-26 20:55:00+00:00,9.22,9.22,9.2102,9.2102,941.0
2025-08-26 21:00:00+00:00,9.22,9.22,9.22,9.22,6234.0
2025-08-26 21:05:00+00:00,9.2399,9.2399,9.23,9.2399,9955.0
2025-08-26 21:10:00+00:00,9.2398,9.24,9.23,9.24,2584.0
2025-08-26 21:15:00+00:00,9.2399,9.24,9.23,9.23,894.0
2025-08-26 21:20:00+00:00,9.23,9.23,9.2201,9.2201,4622.0
2025-08-26 21:25:00+00:00,9.22,9.22,9.22,9.22,4252.0
2025-08-26 21:30:00+00:00,9.23,9.23,9.23,9.23,400.0
2025-08-26 21:35:00+00:00,9.2298,9.2299,9.22,9.2299,3004.0
2025-08-26 21:40:00+00:00,9.22,9.22,9.22,9.22,768.0
2025-08-26 21:45:00+00:00,9.2202,9.2298,9.22,9.2202,2252.0
2025-08-26 21:50:00+00:00,9.22,9.2496,9.22,9.2496,28570.0
2025-08-26 21:55:00+00:00,9.24,9.24,9.24,9.24,600.0
2025-08-26 22:00:00+00:00,9.24,9.25,9.2399,9.25,1188.0
2025-08-26 22:05:00+00:00,9.25,9.25,9.24,9.24,33304.0
2025-08-26 22:10:00+00:00,9.25,9.27,9.24,9.27,17011.0
2025-08-26 22:15:00+00:00,9.25,9.28,9.25,9.28,8914.0
2025-08-26 22:20:00+00:00,9.27,9.27,9.26,9.27,1531.0
2025-08-26 22:25:00+00:00,9.26,9.27,9.26,9.27,850.0
2025-08-26 22:35:00+00:00,9.28,9.28,9.28,9.28,1253.0
2025-08-26 22:40:00+00:00,9.26,9.26,9.25,9.25,1350.0
2025-08-26 22:45:00+00:00,9.25,9.27,9.25,9.27,9156.0
2025-08-26 22:50:00+00:00,9.25,9.25,9.25,9.25,1025.0
2025-08-26 22:55:00+00:00,9.26,9.27,9.26,9.27,2359.0
2025-08-26 23:00:00+00:00,9.27,9.28,9.2699,9.28,7475.0
2025-08-26 23:05:00+00:00,9.2703,9.28,9.2703,9.28,6446.0
2025-08-26 23:10:00+00:00,9.2891,9.3,9.2891,9.2976,4061.0
2025-08-26 23:15:00+00:00,9.27,9.27,9.27,9.27,735.0
2025-08-26 23:20:00+00:00,9.25,9.26,9.25,9.2502,3889.0
2025-08-26 23:25:00+00:00,9.25,9.25,9.23,9.23,5081.0
2025-08-26 23:30:00+00:00,9.24,9.26,9.23,9.2494,5117.0
2025-08-26 23:35:00+00:00,9.25,9.26,9.23,9.24,13218.0
2025-08-26 23:40:00+00:00,9.24,9.2401,9.23,9.2307,4256.0
2025-08-26 23:45:00+00:00,9.24,9.26,9.23,9.2306,7165.0
2025-08-26 23:50:00+00:00,9.23,9.25,9.23,9.23,1574.0
2025-08-26 23:55:00+00:00,9.2795,9.2795,9.23,9.23,4124.0
2025-08-27 08:00:00+00:00,9.22,9.27,9.17,9.17,9646.0
2025-08-27 08:05:00+00:00,9.16,9.18,9.16,9.18,2237.0
2025-08-27 08:20:00+00:00,9.22,9.24,9.22,9.24,2398.0
2025-08-27 08:25:00+00:00,9.24,9.24,9.23,9.23,3161.0
2025-08-27 08:35:00+00:00,9.21,9.21,9.21,9.21,2041.0
2025-08-27 08:40:00+00:00,9.2,9.2,9.17,9.18,8478.0
2025-08-27 08:45:00+00:00,9.17,9.17,9.17,9.17,5205.0
2025-08-27 08:50:00+00:00,9.16,9.16,9.16,9.16,2374.0
2025-08-27 09:00:00+00:00,9.19,9.21,9.19,9.21,10060.0
2025-08-27 09:05:00+00:00,9.23,9.23,9.2,9.2,5493.0
2025-08-27 09:15:00+00:00,9.19,9.19,9.19,9.19,2600.0
2025-08-27 09:20:00+00:00,9.18,9.18,9.18,9.18,200.0
2025-08-27 09:30:00+00:00,9.19,9.2,9.19,9.2,2421.0
2025-08-27 09:40:00+00:00,9.24,9.24,9.24,9.24,3220.0
2025-08-27 09:50:00+00:00,9.24,9.24,9.22,9.22,734.0
2025-08-27 10:00:00+00:00,9.23,9.24,9.23,9.24,638.0
2025-08-27 10:20:00+00:00,9.21,9.21,9.21,9.21,2232.0
2025-08-27 10:25:00+00:00,9.22,9.22,9.22,9.22,950.0
2025-08-27 10:30:00+00:00,9.22,9.22,9.22,9.22,225.0
2025-08-27 10:35:00+00:00,9.22,9.22,9.22,9.22,328.0
2025-08-27 10:40:00+00:00,9.21,9.21,9.2,9.2,491.0
2025-08-27 10:45:00+00:00,9.2,9.2,9.2,9.2,100.0
2025-08-27 10:50:00+00:00,9.19,9.19,9.18,9.19,1325.0
2025-08-27 10:55:00+00:00,9.2,9.22,9.2,9.21,4004.0
2025-08-27 11:00:00+00:00,9.22,9.24,9.22,9.22,2853.0
2025-08-27 11:05:00+00:00,9.24,9.24,9.24,9.24,700.0
2025-08-27 11:10:00+00:00,9.241,9.25,9.241,9.25,301.0
2025-08-27 11:15:00+00:00,9.26,9.27,9.26,9.261,772.0
2025-08-27 11:20:00+00:00,9.26,9.26,9.25,9.25,3868.0
2025-08-27 11:25:00+00:00,9.24,9.24,9.23,9.23,5615.0
2025-08-27 11:30:00+00:00,9.24,9.24,9.24,9.24,501.0
2025-08-27 11:35:00+00:00,9.251,9.251,9.251,9.251,109.0
2025-08-27 11:45:00+00:00,9.251,9.251,9.251,9.251,100.0
2025-08-27 11:50:00+00:00,9.25,9.25,9.241,9.241,526.0
2025-08-27 12:00:00+00:00,9.24,9.45,9.16,9.26,69214.0
2025-08-27 12:05:00+00:00,9.26,9.26,9.26,9.26,810.0
2025-08-27 12:10:00+00:00,9.24,9.25,9.23,9.2399,1675.0
2025-08-27 12:15:00+00:00,9.23,9.25,9.23,9.2492,3140.0
2025-08-27 12:20:00+00:00,9.25,9.25,9.23,9.23,9710.0
2025-08-27 12:25:00+00:00,9.23,9.25,9.2203,9.2203,6597.0
2025-08-27 12:30:00+00:00,9.22,9.23,9.21,9.22,7914.0
2025-08-27 12:35:00+00:00,9.23,9.23,9.21,9.21,5159.0
2025-08-27 12:40:00+00:00,9.22,9.22,9.2,9.2001,39400.0
2025-08-27 12:45:00+00:00,9.2001,9.21,9.1901,9.21,63205.0
2025-08-27 12:50:00+00:00,9.21,9.21,9.2,9.21,3206.0
2025-08-27 12:55:00+00:00,9.21,9.23,9.2,9.22,11780.0
2025-08-27 13:00:00+00:00,9.22,9.22,9.19,9.19,13264.0
2025-08-27 13:05:00+00:00,9.19,9.1999,9.16,9.17,20969.0
2025-08-27 13:10:00+00:00,9.1601,9.19,9.16,9.18,32358.0
2025-08-27 13:15:00+00:00,9.18,9.19,9.17,9.18,16086.0
2025-08-27 13:20:00+00:00,9.17,9.18,9.16,9.17,27542.0
2025-08-27 13:25:00+00:00,9.2,9.3,9.2,9.28,29605.0
2025-08-27 13:30:00+00:00,9.26,9.275,9.06,9.1899,990727.0
2025-08-27 13:35:00+00:00,9.18,9.25,9.12,9.245,439069.0
2025-08-27 13:40:00+00:00,9.2444,9.3386,9.19,9.305,404672.0
