symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAT,2026-01-15 00:10:00+00:00,638.1,638.1,638.1,638.1,100.0,1.0,638.1
CAT,2026-01-15 00:50:00+00:00,638.1,638.1,638.1,638.1,50.0,1.0,638.1
CAT,2026-01-15 09:00:00+00:00,643.65,643.65,643.65,643.65,88.0,8.0,643.65
CAT,2026-01-15 09:05:00+00:00,644.4,645.0,644.4,645.0,751.0,63.0,644.709524
CAT,2026-01-15 11:05:00+00:00,646.06,646.06,646.06,646.06,54.0,2.0,646.06
CAT,2026-01-15 11:35:00+00:00,646.69,646.69,645.94,645.94,488.0,37.0,646.100842
CAT,2026-01-15 11:40:00+00:00,645.04,645.04,645.04,645.04,50.0,1.0,645.04
CAT,2026-01-15 11:45:00+00:00,645.49,645.5,645.49,645.5,200.0,3.0,645.49555
CAT,2026-01-15 11:50:00+00:00,645.0,645.5,645.0,645.48,894.0,43.0,645.422965
CAT,2026-01-15 12:00:00+00:00,644.94,645.0,644.94,645.0,286.0,9.0,644.983817
CAT,2026-01-15 12:05:00+00:00,645.0,645.0,645.0,645.0,131.0,2.0,645.0
CAT,2026-01-15 12:15:00+00:00,645.75,645.75,645.75,645.75,231.0,2.0,645.75
CAT,2026-01-15 12:20:00+00:00,645.16,645.16,645.0,645.0,344.0,11.0,645.101846
CAT,2026-01-15 12:35:00+00:00,645.0,645.0,645.0,645.0,201.0,5.0,645.0
CAT,2026-01-15 12:50:00+00:00,646.05,646.05,646.05,646.05,68.0,1.0,646.05
CAT,2026-01-15 12:55:00+00:00,646.5,646.5,646.5,646.5,81.0,7.0,646.5
CAT,2026-01-15 13:00:00+00:00,644.38,648.5,641.82,645.05,2401.0,276.0,644.383073
CAT,2026-01-15 13:10:00+00:00,646.2,646.2,644.38,644.38,211.0,6.0,644.837862
CAT,2026-01-15 13:15:00+00:00,645.86,645.86,645.86,645.86,107.0,7.0,645.86
CAT,2026-01-15 13:25:00+00:00,646.11,646.11,646.11,646.11,308.0,3.0,646.11
CAT,2026-01-15 13:30:00+00:00,646.2,646.8,645.6,645.6,409.0,31.0,646.385106
CAT,2026-01-15 13:50:00+00:00,645.06,645.5,645.06,645.5,256.0,14.0,645.397374
CAT,2026-01-15 13:55:00+00:00,645.96,646.0,645.02,646.0,612.0,32.0,645.862727
CAT,2026-01-15 14:00:00+00:00,646.0,646.0,646.0,646.0,47.0,4.0,646.0
CAT,2026-01-15 14:10:00+00:00,646.96,646.96,646.96,646.96,108.0,7.0,646.96
CAT,2026-01-15 14:25:00+00:00,644.56,644.56,643.56,643.56,694.0,57.0,644.087237
CAT,2026-01-15 14:30:00+00:00,644.94,649.23,644.5,648.29,70396.0,2399.0,645.594685
CAT,2026-01-15 14:35:00+00:00,648.97,650.0,646.16,648.4,51463.0,1848.0,649.087354
CAT,2026-01-15 14:40:00+00:00,648.6512,649.0192,645.0,647.53,25476.0,1303.0,647.03811
CAT,2026-01-15 14:45:00+00:00,647.17,650.24,647.07,649.1192,27873.0,1330.0,648.995873
CAT,2026-01-15 14:50:00+00:00,649.55,650.0,648.51,649.0,16841.0,881.0,649.226622
CAT,2026-01-15 14:55:00+00:00,648.99,649.44,647.41,647.505,15669.0,879.0,648.145497
CAT,2026-01-15 15:00:00+00:00,647.2,648.1297,646.83,647.03,32845.0,1247.0,647.442592
CAT,2026-01-15 15:05:00+00:00,646.97,649.0,646.68,648.005,57682.0,1562.0,647.715379
CAT,2026-01-15 15:10:00+00:00,648.31,648.85,647.12,647.22,23495.0,1156.0,648.005088
CAT,2026-01-15 15:15:00+00:00,647.05,647.91,645.91,647.61,16198.0,936.0,646.589343
CAT,2026-01-15 15:20:00+00:00,647.45,648.02,646.28,648.0,16807.0,829.0,647.327492
CAT,2026-01-15 15:25:00+00:00,647.69,647.69,646.38,647.18,15139.0,836.0,646.873865
CAT,2026-01-15 15:30:00+00:00,647.4499,647.4499,645.59,645.8,13778.0,747.0,646.442921
CAT,2026-01-15 15:35:00+00:00,646.18,646.18,644.5313,645.21,17173.0,834.0,645.185906
CAT,2026-01-15 15:40:00+00:00,645.37,647.29,644.04,646.11,40799.0,1230.0,645.926552
CAT,2026-01-15 15:45:00+00:00,646.105,647.31,645.0553,647.01,24122.0,1153.0,646.23728
CAT,2026-01-15 15:50:00+00:00,646.97,648.0,646.0701,647.215,21184.0,889.0,647.214027
CAT,2026-01-15 15:55:00+00:00,647.38,649.32,646.95,648.81,19842.0,834.0,648.013585
CAT,2026-01-15 16:00:00+00:00,648.86,650.8,648.86,650.585,29761.0,1075.0,650.222831
CAT,2026-01-15 16:05:00+00:00,650.69,650.89,649.96,650.165,15866.0,719.0,650.335004
CAT,2026-01-15 16:10:00+00:00,649.97,651.16,649.5,650.555,13880.0,781.0,650.517489
CAT,2026-01-15 16:15:00+00:00,650.57,651.89,649.86,651.89,23588.0,925.0,650.356523
CAT,2026-01-15 16:20:00+00:00,651.92,652.3599,651.28,652.1299,23087.0,777.0,651.643272
CAT,2026-01-15 16:25:00+00:00,651.9908,652.13,651.27,651.65,19467.0,905.0,651.662225
CAT,2026-01-15 16:30:00+00:00,651.6185,651.89,650.71,651.2,18342.0,740.0,651.362662
CAT,2026-01-15 16:35:00+00:00,651.23,651.235,650.0937,650.585,9453.0,600.0,650.636207
CAT,2026-01-15 16:40:00+00:00,650.85,650.85,650.19,650.35,8018.0,537.0,650.484875
CAT,2026-01-15 16:45:00+00:00,650.29,650.7,649.99,650.225,12821.0,624.0,650.306947
CAT,2026-01-15 16:50:00+00:00,649.99,650.12,649.26,650.03,17761.0,835.0,649.780436
CAT,2026-01-15 16:55:00+00:00,650.005,651.2,649.74,651.2,22594.0,909.0,650.273218
CAT,2026-01-15 17:00:00+00:00,651.12,651.33,650.2501,650.905,14641.0,767.0,650.881392
CAT,2026-01-15 17:05:00+00:00,650.64,651.0598,650.2401,650.99,3873.0,244.0,650.73582
CAT,2026-01-15 17:10:00+00:00,650.93,651.39,650.19,651.0451,12636.0,698.0,650.753451
CAT,2026-01-15 17:15:00+00:00,651.05,651.129,650.06,650.59,8297.0,471.0,650.523444
CAT,2026-01-15 17:20:00+00:00,651.0578,651.48,650.445,650.75,9991.0,543.0,650.907425
CAT,2026-01-15 17:25:00+00:00,650.76,651.0425,650.34,650.6851,9235.0,485.0,650.533459
CAT,2026-01-15 17:30:00+00:00,650.803,651.127,650.44,650.65,9566.0,495.0,650.646879
CAT,2026-01-15 17:35:00+00:00,650.725,651.2879,650.71,651.09,15114.0,681.0,651.029233
CAT,2026-01-15 17:40:00+00:00,650.88,651.4,650.74,651.4,11496.0,594.0,651.018385
CAT,2026-01-15 17:45:00+00:00,651.5,651.93,651.14,651.32,10754.0,612.0,651.56975
CAT,2026-01-15 17:50:00+00:00,651.485,652.17,651.48,651.64,18101.0,719.0,651.861862
CAT,2026-01-15 17:55:00+00:00,651.635,651.64,650.29,650.565,14539.0,607.0,650.95214
CAT,2026-01-15 18:00:00+00:00,650.59,651.8159,650.57,651.45,6677.0,481.0,651.109914
CAT,2026-01-15 18:05:00+00:00,651.505,651.74,651.48,651.53,8550.0,561.0,651.545627
CAT,2026-01-15 18:10:00+00:00,651.53,652.0,651.07,651.14,15074.0,723.0,651.444695
CAT,2026-01-15 18:15:00+00:00,651.14,651.27,650.46,650.58,7296.0,417.0,650.878645
CAT,2026-01-15 18:20:00+00:00,650.43,651.01,650.2,650.89,6945.0,425.0,650.719352
CAT,2026-01-15 18:25:00+00:00,650.895,650.895,650.31,650.585,156067.0,388.0,650.588162
CAT,2026-01-15 18:30:00+00:00,650.585,651.41,650.06,650.37,15492.0,694.0,650.769544
CAT,2026-01-15 18:35:00+00:00,650.69,651.1,649.12,649.24,11871.0,638.0,649.960075
CAT,2026-01-15 18:40:00+00:00,649.24,649.78,649.2,649.3483,9947.0,529.0,649.443698
CAT,2026-01-15 18:45:00+00:00,649.405,649.64,649.02,649.55,8713.0,490.0,649.314677
CAT,2026-01-15 18:50:00+00:00,649.18,649.185,648.4213,648.43,12257.0,568.0,648.791125
CAT,2026-01-15 18:55:00+00:00,648.42,649.8,648.19,649.725,14964.0,641.0,648.817489
CAT,2026-01-15 19:00:00+00:00,649.73,650.1499,648.64,648.64,19611.0,833.0,649.620137
CAT,2026-01-15 19:05:00+00:00,648.75,648.75,648.0,648.445,9604.0,481.0,648.355219
CAT,2026-01-15 19:10:00+00:00,648.64,648.845,648.25,648.7868,10567.0,485.0,648.460887
CAT,2026-01-15 19:15:00+00:00,648.845,650.19,648.845,650.19,11431.0,574.0,649.56433
CAT,2026-01-15 19:20:00+00:00,650.19,650.4476,649.11,649.425,12677.0,618.0,649.747118
CAT,2026-01-15 19:25:00+00:00,649.38,649.49,648.58,649.39,9950.0,548.0,649.184992
CAT,2026-01-15 19:30:00+00:00,649.33,649.6502,648.76,649.625,11982.0,615.0,649.102568
CAT,2026-01-15 19:35:00+00:00,649.49,650.16,649.31,649.515,12930.0,603.0,649.820136
CAT,2026-01-15 19:40:00+00:00,649.7199,650.5,649.31,649.85,14202.0,701.0,649.792268
CAT,2026-01-15 19:45:00+00:00,649.63,650.05,649.57,650.02,8120.0,423.0,649.82585
CAT,2026-01-15 19:50:00+00:00,649.97,650.4,649.67,649.8199,8826.0,516.0,650.074035
CAT,2026-01-15 19:55:00+00:00,649.53,649.77,649.1,649.26,7762.0,544.0,649.403022
CAT,2026-01-15 20:00:00+00:00,649.14,649.87,648.68,649.56,8752.0,546.0,648.957937
CAT,2026-01-15 20:05:00+00:00,649.57,649.84,649.2,649.37,11346.0,593.0,649.516061
CAT,2026-01-15 20:10:00+00:00,649.37,649.37,647.6,647.84,116557.0,762.0,648.592975
CAT,2026-01-15 20:15:00+00:00,647.77,647.78,646.37,646.7504,24156.0,907.0,646.905922
CAT,2026-01-15 20:20:00+00:00,646.54,648.58,646.53,647.96,23844.0,974.0,647.228621
CAT,2026-01-15 20:25:00+00:00,647.9753,648.12,647.5,647.5,13336.0,734.0,647.897892
CAT,2026-01-15 20:30:00+00:00,647.675,647.675,646.86,647.275,23206.0,875.0,647.128712
CAT,2026-01-15 20:35:00+00:00,647.54,647.99,647.27,647.615,12134.0,750.0,647.514597
CAT,2026-01-15 20:40:00+00:00,647.62,648.0699,647.33,647.5,15892.0,934.0,647.786716
CAT,2026-01-15 20:45:00+00:00,647.465,647.9,646.76,646.76,17269.0,1003.0,647.248258
CAT,2026-01-15 20:50:00+00:00,646.62,647.51,646.0,647.22,54529.0,1839.0,646.632603
CAT,2026-01-15 20:55:00+00:00,647.1,647.36,645.67,647.15,106497.0,4368.0,646.779541
CAT,2026-01-15 21:00:00+00:00,647.18,648.0,647.18,647.18,333577.0,115.0,647.180142
CAT,2026-01-15 21:10:00+00:00,648.0,648.0,648.0,648.0,55.0,6.0,648.0
CAT,2026-01-15 22:05:00+00:00,647.0,647.0,647.0,647.0,125.0,1.0,647.0
CAT,2026-01-16 00:15:00+00:00,647.99,647.99,647.99,647.99,110.0,2.0,647.99
CAT,2026-01-16 00:25:00+00:00,647.6,647.6,647.6,647.6,100.0,4.0,647.6
CAT,2026-01-16 00:50:00+00:00,647.61,647.61,647.61,647.61,501.0,5.0,647.61
CAT,2026-01-16 00:55:00+00:00,647.99,647.99,647.99,647.99,56.0,2.0,647.99
CAT,2026-01-16 09:10:00+00:00,652.49,652.5,652.3,652.5,609.0,18.0,652.429879
CAT,2026-01-16 09:20:00+00:00,652.02,652.02,652.02,652.02,85.0,4.0,652.02
CAT,2026-01-16 09:35:00+00:00,653.59,653.59,653.59,653.59,80.0,3.0,653.59
CAT,2026-01-16 11:00:00+00:00,653.57,653.58,653.57,653.58,120.0,3.0,653.573333
CAT,2026-01-16 11:25:00+00:00,653.29,653.3,653.29,653.3,343.0,13.0,653.296169
CAT,2026-01-16 11:30:00+00:00,653.3,653.3,653.3,653.3,40.0,1.0,653.3
CAT,2026-01-16 12:00:00+00:00,651.1,651.13,651.1,651.13,731.0,90.0,651.112
CAT,2026-01-16 12:15:00+00:00,652.08,652.08,652.08,652.08,69.0,3.0,652.08
CAT,2026-01-16 12:20:00+00:00,652.67,652.67,652.5,652.5,424.0,21.0,652.57265
CAT,2026-01-16 12:45:00+00:00,654.05,654.63,654.05,654.63,1418.0,36.0,654.223092
CAT,2026-01-16 12:55:00+00:00,654.0,654.04,654.0,654.03,213.0,14.0,654.022857
CAT,2026-01-16 13:00:00+00:00,652.39,655.0,652.3597,654.0,1833.0,191.0,653.433116
CAT,2026-01-16 13:10:00+00:00,653.9,655.0,653.9,655.0,1154.0,62.0,654.461078
CAT,2026-01-16 13:15:00+00:00,655.36,655.53,655.36,655.53,365.0,37.0,655.445
CAT,2026-01-16 13:20:00+00:00,653.9108,654.18,653.9108,654.18,320.0,19.0,654.000533
CAT,2026-01-16 13:25:00+00:00,654.06,654.13,654.06,654.13,207.0,16.0,654.098889
CAT,2026-01-16 13:35:00+00:00,654.0,654.01,653.65,653.65,444.0,21.0,653.84
CAT,2026-01-16 13:40:00+00:00,653.06,653.95,653.0,653.95,867.0,25.0,653.073542
CAT,2026-01-16 13:45:00+00:00,653.97,654.5407,652.46,652.46,1061.0,52.0,653.539659
CAT,2026-01-16 13:50:00+00:00,654.0,654.0,652.4,653.5,465.0,30.0,653.42
CAT,2026-01-16 13:55:00+00:00,653.6,655.02,653.6,654.96,2377.0,81.0,654.724497
CAT,2026-01-16 14:00:00+00:00,654.0,654.0,654.0,654.0,210.0,16.0,654.0
CAT,2026-01-16 14:05:00+00:00,653.75,656.03,653.75,656.03,873.0,77.0,654.975454
CAT,2026-01-16 14:10:00+00:00,656.0001,656.01,656.0001,656.0037,435.0,16.0,656.00595
CAT,2026-01-16 14:15:00+00:00,656.64,656.64,655.3,655.3,1200.0,23.0,655.43625
CAT,2026-01-16 14:20:00+00:00,654.97,654.99,654.9,654.9,365.0,27.0,654.963111
CAT,2026-01-16 14:25:00+00:00,655.2314,655.2314,655.2314,655.2314,134.0,10.0,655.2314
CAT,2026-01-16 14:30:00+00:00,651.97,655.68,650.31,652.58,284470.0,2385.0,651.577645
CAT,2026-01-16 14:35:00+00:00,652.82,654.0,651.04,653.025,28389.0,1068.0,652.643326
CAT,2026-01-16 14:40:00+00:00,653.4699,654.68,651.87,652.615,36978.0,1123.0,653.313375
CAT,2026-01-16 14:45:00+00:00,652.43,655.67,652.43,652.585,27079.0,1120.0,653.9246
CAT,2026-01-16 14:50:00+00:00,652.72,652.92,650.755,651.1,21954.0,951.0,651.554609
CAT,2026-01-16 14:55:00+00:00,651.18,651.18,646.85,647.2437,35903.0,1441.0,648.957018
CAT,2026-01-16 15:00:00+00:00,646.95,649.0968,646.83,648.0,20614.0,1123.0,647.630243
CAT,2026-01-16 15:05:00+00:00,648.45,650.0,648.45,649.62,24337.0,998.0,649.442991
CAT,2026-01-16 15:10:00+00:00,650.0,651.16,648.51,648.51,32327.0,1037.0,649.911487
CAT,2026-01-16 15:15:00+00:00,648.66,649.04,647.57,647.865,11504.0,684.0,648.13149
CAT,2026-01-16 15:20:00+00:00,648.22,648.8,647.92,648.5,8250.0,563.0,648.396238
CAT,2026-01-16 15:25:00+00:00,648.31,648.415,645.5,645.68,19520.0,1272.0,646.739761
CAT,2026-01-16 15:30:00+00:00,645.55,645.55,643.01,643.2775,52111.0,1152.0,644.350832
CAT,2026-01-16 15:35:00+00:00,643.285,643.285,641.45,642.24,29115.0,1291.0,642.368091
CAT,2026-01-16 15:40:00+00:00,642.42,644.11,641.01,644.11,88364.0,1744.0,642.141227
CAT,2026-01-16 15:45:00+00:00,643.5,645.47,642.93,645.045,19805.0,760.0,643.900671
CAT,2026-01-16 15:50:00+00:00,645.54,646.47,644.57,644.99,14179.0,845.0,645.349876
CAT,2026-01-16 15:55:00+00:00,645.335,646.16,645.12,645.63,11200.0,717.0,645.689071
CAT,2026-01-16 16:00:00+00:00,645.65,646.65,645.62,645.91,23374.0,886.0,645.973487
CAT,2026-01-16 16:05:00+00:00,645.91,646.98,645.91,646.61,6836.0,558.0,646.517222
CAT,2026-01-16 16:10:00+00:00,646.61,647.12,645.3701,645.39,24857.0,849.0,645.994291
CAT,2026-01-16 16:15:00+00:00,645.7,646.27,645.55,645.77,12260.0,600.0,645.853926
CAT,2026-01-16 16:20:00+00:00,645.8,646.57,645.655,646.04,10976.0,540.0,646.113224
CAT,2026-01-16 16:25:00+00:00,646.065,646.48,645.0,645.92,19577.0,822.0,645.817328
CAT,2026-01-16 16:30:00+00:00,645.5559,646.46,645.5559,646.31,10731.0,604.0,645.961754
CAT,2026-01-16 16:35:00+00:00,646.36,646.36,645.61,646.0,9456.0,552.0,645.944543
CAT,2026-01-16 16:40:00+00:00,646.09,646.09,645.06,645.44,6944.0,480.0,645.497235
CAT,2026-01-16 16:45:00+00:00,645.75,645.78,644.5983,644.5983,9677.0,628.0,645.383423
CAT,2026-01-16 16:50:00+00:00,644.65,645.129,644.0406,644.25,12759.0,703.0,644.54659
CAT,2026-01-16 16:55:00+00:00,644.19,644.59,643.43,644.065,16743.0,676.0,643.637737
CAT,2026-01-16 17:00:00+00:00,643.74,644.33,643.7301,644.23,5241.0,447.0,643.965678
CAT,2026-01-16 17:05:00+00:00,644.31,644.87,644.09,644.155,8209.0,521.0,644.390813
CAT,2026-01-16 17:10:00+00:00,644.26,644.84,644.0625,644.63,7358.0,433.0,644.347682
CAT,2026-01-16 17:15:00+00:00,644.43,645.28,644.41,644.975,4871.0,425.0,644.739261
CAT,2026-01-16 17:20:00+00:00,645.08,645.45,644.835,645.26,6205.0,431.0,645.078764
CAT,2026-01-16 17:25:00+00:00,645.26,645.52,644.79,645.17,7954.0,514.0,645.069881
CAT,2026-01-16 17:30:00+00:00,644.9301,645.4,644.6,644.8,22240.0,528.0,644.951538
CAT,2026-01-16 17:35:00+00:00,644.8,645.38,644.5,645.14,5111.0,380.0,644.867169
CAT,2026-01-16 17:40:00+00:00,644.8739,645.2375,644.85,644.99,6073.0,405.0,645.05231
CAT,2026-01-16 17:45:00+00:00,644.88,644.92,644.171,644.5835,8054.0,557.0,644.559962
