Trade_ID,Ticker,Date,Outcome,1W_Trend_Valid,1D_Trend_Valid,1D_Vol_Contracting,Breakout_Open_Valid,Intraday_Vol_Spike,Intraday_Held_8EMA

Win 01,RKLB,09/11/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 02,TSLA,12/05/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 03,NVDA,01/08/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 04,KEEL,05/22/2026,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Win 05,DELL,04/16/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 06,BB,05/18/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 07,ASTS,05/26/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 08,CAT,01/29/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 09,AAPL,04/30/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 10,USAR,01/20/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 11,IONQ,05/21/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 12,JPM,06/12/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 13,ARM,04/13/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 14,ARKK,06/06/2025,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Win 15,ARC,05/26/2025,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Loss 01,RGTI,06/03/2026,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Loss 02,WULF,01/23/2026,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Loss 03,QBTS,06/04/2026,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Loss 04,KTOS,02/18/2026,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Loss 05,IOT,03/16/2026,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Loss 06,AMZN,12/19/2025,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Loss 07,ACHR,01/05/2026,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Loss 08,JOBY,01/05/2026,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Loss 09,RXRX,01/07/2026,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Loss 10,BBAI,01/15/2026,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
