Trade_ID,Ticker,Date,Outcome,1W_Trend_Valid,1D_Trend_Valid,1D_Vol_Contracting,Breakout_Open_Valid,Intraday_Vol_Spike,Intraday_Held_8EMA, Entry_Time

Win 01,RKLB,09/11/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2024-09-11 10:55:00
Win 02,TSLA,12/05/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2024-12-05 09:50:00
Win 03,NVDA,01/08/2024,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2024-01-08 09:50:00
Win 04,KEEL,05/22/2026,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE, 2026-05-22 09:50:00
Win 05,DELL,04/16/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-04-16 09:50:00
Win 06,BB,05/18/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-05-18 09:50:00
Win 07,ASTS,05/26/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-05-20 10:40:00
Win 08,CAT,01/29/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-01-29 11:15:00
Win 09,AAPL,04/30/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-04-30 09:50:00
Win 10,USAR,01/20/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-01-20 10:00:00
Win 11,IONQ,05/21/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-05-21 10:05:00
Win 12,JPM,06/12/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-06-12 09:50:00
Win 13,ARM,04/13/2026,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2026-04-10 09:50:00
Win 14,ARKK,06/06/2025,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE, 2025-06-06 09:50:00
Loss 01,RGTI,06/03/2026,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE, 2026-06-03 10:10:00
Loss 02,WULF,01/23/2026,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE, 2026-01-23 11:45:00
Loss 03,QBTS,06/04/2026,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE, 2026-06-04 14:25:00
Loss 04,KTOS,02/18/2026,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE, 2026-02-18 09:50:00
Loss 05,IOT,03/16/2026,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE, 2026-03-16 09:45:00
Loss 06,AMZN,12/19/2025,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE, 2025-12-19 10:20:00
Loss 07,ACHR,01/05/2026,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE, 2026-01-05 09:55:00
Loss 08,JOBY,01/05/2026,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE, 2026-01-05 09:50:00
Loss 09,RXRX,01/07/2026,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE, 2026-01-07 10:05:00
Loss 10,BBAI,01/15/2026,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE, 2026-01-15 10:05:00
