ticker,setup_date,close,volume,vol_sma_20
HIMS,2026-07-01,37.56999969482422,28032100,19274320.0
SNOW,2026-06-26,248.9600067138672,25607000,9275360.0
DDOG,2026-06-26,239.77000427246094,9628000,6049510.0
OSCR,2026-06-23,29.93000030517578,7748200,7262660.0
SIMO,2026-06-18,321.6600036621094,1523200,1051500.0
COHR,2026-06-02,426.8900146484375,9124000,6674275.0
BAND,2026-06-01,70.88999938964844,1739000,1228330.0
DDOG,2026-06-01,277.489990234375,11191000,7387950.0
DDOG,2026-05-29,247.35000610351562,9416200,7140790.0
BAND,2026-05-29,64.97000122070312,1547300,1347465.0
ORCL,2026-05-28,202.99378967285156,25339900,20187260.0
CORZ,2026-05-26,26.3700008392334,18859400,15903020.0
SIMO,2026-05-26,290.32000732421875,1850200,1428275.0
APLD,2026-05-21,48.02000045776367,43074400,23553060.0
CRDO,2026-05-11,210.22000122070312,7999300,7195285.0
DELL,2026-05-06,238.4060516357422,9187200,6090655.0
IONQ,2026-05-06,52.56999969482422,58397500,37330755.0
ARM,2026-04-22,196.57000732421875,13932300,8767745.0
DELL,2026-04-13,188.89244079589844,10506700,9023870.0
XOM,2026-03-02,153.1802978515625,31493100,22505470.0
AMAT,2026-01-06,295.27423095703125,7237900,6407455.0
AMKR,2026-01-06,51.134368896484375,8804000,3608905.0
MRK,2026-01-06,107.29795837402344,14479000,14078625.0
LRCX,2026-01-06,206.56683349609375,18787600,11105145.0
LRCX,2026-01-05,194.38999938964844,16268200,10557470.0
BA,2026-01-05,228.1300048828125,8278800,7363365.0
AMKR,2026-01-05,47.98395919799805,7952900,3374235.0
AMAT,2026-01-05,283.61328125,10398700,6314230.0
GS,2026-01-05,939.3348999023438,3742000,2171050.0
BA,2026-01-02,227.77000427246094,11261000,7425090.0
AMKR,2026-01-02,42.789764404296875,4218800,3206095.0
GS,2026-01-02,905.5623168945312,2817600,2067490.0
TE,2026-01-02,7.840000152587891,26267400,21376060.0
LRCX,2026-01-02,184.70843505859375,11957400,10185795.0
AMAT,2026-01-02,268.2016906738281,7553200,6111735.0
SNDK,2026-01-02,275.239990234375,11104300,7809050.0
IREN,2025-11-05,76.41000366210938,45875000,43128095.0
DDOG,2025-10-31,162.80999755859375,4038300,3423225.0
SNOW,2025-10-27,265.9700012207031,4778800,4549420.0
SNOW,2025-10-24,257.94000244140625,5169300,4531935.0
MU,2025-10-16,202.3320770263672,42041300,29853245.0
OKLO,2025-10-13,171.00999450683594,28693800,27429130.0
NNE,2025-10-06,53.630001068115234,8815600,3789845.0
UNH,2025-10-03,353.01800537109375,13494800,13161005.0
NVAX,2025-10-01,9.5,8931800,4637675.0
HOOD,2025-09-30,143.17999267578125,50851200,49902830.0
APP,2025-09-29,712.3599853515625,11947800,11158965.0
HOOD,2025-09-29,136.72000122070312,62109900,49405225.0
INTC,2025-09-18,30.56999969482422,523908000,98147895.0
ZETA,2025-09-11,20.760000228881836,10020100,7286780.0
NBIS,2025-09-09,95.72000122070312,88378300,14479260.0
WULF,2025-09-09,10.300000190734863,69371900,66970390.0
RUN,2025-09-05,18.18000030517578,17576600,17534090.0
AAPL,2025-09-03,237.7972412109375,66427800,55244180.0
EOSE,2025-08-26,6.920000076293945,15722200,12614535.0
SOFI,2025-08-22,25.020000457763672,101606500,79374045.0
TM,2025-08-22,201.3699951171875,410500,376685.0
APLD,2025-08-18,16.34000015258789,70625900,34116345.0
IREN,2025-08-18,20.704999923706055,25197700,23059610.0
